	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
LTB	0	1.25499647201038	0.838	0.23	0	Regulatory T cells	LTB
IL7R	0	1.18072085541344	0.71	0.136	0	Regulatory T cells	IL7R
SPOCK2	0	0.835933025140495	0.792	0.223	0	Regulatory T cells	SPOCK2
ICOS	0	0.657175880229279	0.523	0.079	0	Regulatory T cells	ICOS
CD3E	0	0.654947253925808	0.966	0.429	0	Regulatory T cells	CD3E
CD3D	0	0.619556183855784	0.872	0.326	0	Regulatory T cells	CD3D
CD28	0	0.395437507948019	0.402	0.054	0	Regulatory T cells	CD28
TNFRSF4	1.90052652940898e-299	0.894703357510528	0.375	0.05	3.36184137787154e-295	Regulatory T cells	TNFRSF4
PBXIP1	3.29650570079431e-298	0.53012154115935	0.565	0.155	5.83118893413506e-294	Regulatory T cells	PBXIP1
TNFRSF25	2.81390034619074e-297	0.389452341087341	0.371	0.048	4.9775083223768e-293	Regulatory T cells	TNFRSF25
CCR6	1.0462624694848e-288	0.463815840760804	0.359	0.045	1.85073368227167e-284	Regulatory T cells	CCR6
AQP3	3.93329402584385e-286	0.433526868955113	0.415	0.07	6.95760380231519e-282	Regulatory T cells	AQP3
SARAF	4.28205716815468e-277	0.653377180373213	0.955	0.775	7.57453092474881e-273	Regulatory T cells	SARAF
CD2	6.34183230556846e-274	0.626038710603529	0.797	0.336	1.121806716532e-269	Regulatory T cells	CD2
CTLA4	1.24782195574915e-270	0.467766166558978	0.33	0.039	2.20727225752467e-266	Regulatory T cells	CTLA4
CD5	2.18094314926126e-265	0.433035431894391	0.488	0.115	3.85787033672824e-261	Regulatory T cells	CD5
CD6	4.24108902606061e-264	0.477957404441531	0.564	0.162	7.50206237819861e-260	Regulatory T cells	CD6
FLT3LG	8.54338282181627e-221	0.385324362195079	0.458	0.124	1.51123898735108e-216	Regulatory T cells	FLT3LG
CAMK4	1.80949216264476e-213	0.359550772484585	0.467	0.127	3.20081068650232e-209	Regulatory T cells	CAMK4
CD3G	4.92259623793003e-213	0.409127193492503	0.683	0.255	8.70758048527443e-209	Regulatory T cells	CD3G
BIRC3	1.21122256449688e-201	0.546416598131731	0.611	0.245	2.14253159433853e-197	Regulatory T cells	BIRC3
IL32	5.17501113945397e-199	0.623598603168133	0.954	0.559	9.15407720458013e-195	Regulatory T cells	IL32
TBC1D4	5.60078204192069e-195	0.328683953571647	0.265	0.037	9.90722335395351e-191	Regulatory T cells	TBC1D4
RORA	5.80117580744101e-194	0.420687952248232	0.529	0.184	1.02616998857824e-189	Regulatory T cells	RORA
BATF	1.18345535983555e-193	0.618689639798006	0.467	0.154	2.0934141860131e-189	Regulatory T cells	BATF
TNFAIP3	3.86010598134101e-191	0.648051420293509	0.854	0.509	6.82814147039412e-187	Regulatory T cells	TNFAIP3
LEPROTL1	3.49079578951933e-188	0.43015182920759	0.677	0.314	6.17486867208073e-184	Regulatory T cells	LEPROTL1
LAT	5.9864914782267e-187	0.428834122979175	0.627	0.266	1.05895047758352e-182	Regulatory T cells	LAT
LCK	1.77421076331287e-184	0.405067119352591	0.777	0.37	3.13840141922413e-180	Regulatory T cells	LCK
