	p_val	avg_logFC	pct.1	pct.2	p_val_adj
TYROBP	5.19389116143677e-56	0.624417152382477	0.571	0.284	9.1874740754655e-52
FGFBP2	7.98917524191146e-72	0.602475807131678	0.528	0.188	1.41320520854172e-67
FCGR3A	1.13530318127139e-54	0.447533412466324	0.5	0.204	2.00823779735096e-50
KLRB1	1.61367004464346e-39	0.441328339195283	0.618	0.381	2.85442094196982e-35
PLEK	1.53104392395099e-54	0.418255799401784	0.573	0.294	2.70826359707691e-50
XCL1	3.9416713072997e-32	0.413441263603372	0.496	0.274	6.97242237548245e-28
NKG7	2.85637853159227e-61	0.409109859517006	0.989	0.949	5.05264798453357e-57
FCER1G	1.67905670063353e-31	0.399525530038326	0.377	0.174	2.97008339775064e-27
XCL2	4.25403003955126e-25	0.350561760052194	0.483	0.293	7.52495373696223e-21
CST7	1.05055057193965e-51	0.335912976046834	0.983	0.93	1.85831890670404e-47
SPON2	5.00940063805163e-28	0.335759904030113	0.389	0.198	8.86112878864953e-24
CTSW	8.66705546235265e-33	0.326671676574738	0.877	0.742	1.53311544073556e-28
KLRF1	8.95200073962866e-38	0.303398182830412	0.359	0.14	1.58351941083291e-33
TRBV13	1.76343571232526e-07	0.294816600939702	0.041	0.009	0.00311934143153215
CX3CR1	1.87203319848295e-38	0.270723170279044	0.315	0.107	3.31143952479649e-34
LITAF	5.15860830835207e-24	0.264399980767934	0.757	0.628	9.12506223664398e-20
PLAC8	7.92762281545586e-33	0.262335047303624	0.386	0.172	1.40231719982599e-28
EMP3	3.54740035184631e-23	0.260080271882656	0.733	0.598	6.27499648238094e-19
ITGB1	2.66273911261111e-22	0.252133187105414	0.496	0.321	4.71011921629779e-18
RAP1B	5.72350349995105e-19	0.251311233090013	0.683	0.588	1.01243053410634e-14
CCL4	2.64191726992091e-21	0.246747482145061	0.95	0.852	4.6732874587631e-17
GZMH	8.50569882533153e-19	0.245892243097753	0.743	0.588	1.5045730652129e-14
AES	9.58286898058399e-18	0.241306564210996	0.669	0.554	1.6951136939755e-13
ITGB2	4.87884468798247e-24	0.237114828172837	0.774	0.62	8.6301883685722e-20
S1PR5	6.23182163645028e-33	0.231701081134767	0.354	0.148	1.10234692927169e-28
CMC1	2.22677927486449e-09	0.229274713216443	0.481	0.387	3.9389498593078e-05
MYL12A	1.94577357807667e-28	0.220341093489557	0.959	0.91	3.44187888225982e-24
CCL3	8.16696938722655e-20	0.206399105093636	0.461	0.277	1.4446552149065e-15
FTL	1.75989873053423e-25	0.205115185824336	0.984	0.968	3.113084864442e-21
XBP1	3.21376578493862e-17	0.199636139380272	0.458	0.303	5.68483029697793e-13
PRSS23	3.57398689561426e-27	0.195250584018263	0.24	0.084	6.32202541965207e-23
EFHD2	4.85171338167506e-17	0.193275927053282	0.506	0.358	8.58219580084502e-13
GNLY	3.13651512094337e-11	0.190319828198645	0.558	0.443	5.54818159743673e-07
CLIC3	6.37598129704416e-10	0.186513042588068	0.493	0.381	1.12784733163414e-05
PTGDS	1.89938703999855e-07	0.186192374813043	0.086	0.038	0.00335982573505344
CD247	3.03242465817713e-09	0.182791668208392	0.722	0.674	5.36405597784953e-05
NCR3	1.39668728102236e-19	0.178729835243275	0.281	0.137	2.47060013140045e-15
KLRD1	3.4648239620793e-08	0.166693625385979	0.551	0.454	0.000612892710652207
TGFBR3	8.284579145013e-15	0.162037024777185	0.298	0.171	1.46545920496135e-10
TRBC1	3.03572049521072e-05	0.159987015304746	0.56	0.508	0.536988598397823
IFITM1	2.7957732864101e-08	0.158594663648774	0.966	0.95	0.000494544336633083
GZMM	6.37553436188688e-09	0.155694014215503	0.751	0.692	0.000112776827327417
C1orf162	4.74858065504992e-19	0.154242249294488	0.202	0.08	8.39976432071781e-15
MATK	1.05116137381374e-08	0.149208985162748	0.497	0.395	0.000185939935413912
CALM1	2.64825036369857e-12	0.146740271275792	0.97	0.944	4.6844900683464e-08
APMAP	2.2765795034631e-08	0.139711584259555	0.565	0.47	0.000402704148367588
EIF3G	2.36366808307573e-07	0.138749801823025	0.687	0.627	0.00418109247215265
TTC38	1.8096905702371e-12	0.136286009766094	0.253	0.144	3.2011616496924e-08
MYOM2	1.12681774798937e-15	0.132048573773742	0.108	0.029	1.99322791441839e-11
RPS4X	2.68257566791e-13	0.130815248248354	0.999	0.996	4.74520809896599e-09
YPEL3	5.7398749117873e-10	0.130708962623763	0.464	0.351	1.01532647314605e-05
KLRG1	1.33103809858131e-09	0.127325671795509	0.37	0.255	2.35447329258048e-05
CD300A	2.56095475565471e-11	0.126351646177684	0.325	0.208	4.53007286727762e-07
LINC00861	5.82640289841079e-10	0.126175922303106	0.436	0.313	1.03063240869988e-05
RPL3	1.69511843275903e-14	0.125169583133593	0.998	0.997	2.99849499570745e-10
SRSF9	1.08098662445258e-07	0.1243235533951	0.484	0.393	0.00191215723999416
TRBV12-3	0.000779875703511592	0.124267285827455	0.036	0.015	1
ADGRG1	1.81973938202583e-12	0.121445947668521	0.266	0.15	3.2189369928655e-08
PTGDR	8.80809301038106e-12	0.120253902513997	0.204	0.107	1.55806357260631e-07
SH2D1B	1.41653937847766e-11	0.118856001960886	0.241	0.135	2.50571650658914e-07
CD160	4.65371542534429e-09	0.117264295846808	0.19	0.107	8.23195721589152e-05
TMSB10	1.86930085256256e-14	0.117024250913488	1	0.998	3.30660627809791e-10
TRIR	2.38156116391999e-06	0.113091294602229	0.745	0.711	0.0421274354285807
FGR	1.3270821535452e-09	0.112698347036477	0.278	0.177	2.34747562140611e-05
FXYD5	0.000225512862643948	0.112462865125723	0.76	0.759	1
S1PR1	2.52146011924789e-11	0.11242051828626	0.193	0.101	4.46021080493759e-07
CXCL13	0.0135087459686605	0.111722195749993	0.022	0.04	1
PFN1	2.62986386771748e-13	0.110826223258437	0.999	0.956	4.65196619560545e-09
FCRL6	1.71645723601579e-10	0.110630226263097	0.303	0.192	3.03624120478834e-06
C1orf21	8.28220114468884e-09	0.106335319700031	0.303	0.203	0.000146503856048401
ICAM2	6.73446152985513e-09	0.106075542299422	0.245	0.155	0.000119125890001607
CD47	3.06701761537149e-06	0.105538019345769	0.472	0.387	0.0542524745983062
HMGN3	3.03256136495805e-05	0.10386156548931	0.427	0.355	0.536429779847429
PRMT2	1.41950002821776e-05	0.102782272659473	0.476	0.399	0.251095359991439
PYHIN1	0.00117132220277097	0.102460570858968	0.423	0.373	1
CYBA	3.30024090230649e-07	0.102281999480861	0.935	0.939	0.00583779613208996
TPST2	2.14562845041223e-07	0.0986059443762293	0.423	0.326	0.00379540216593419
SYNE1	1.12852050771712e-05	0.0979207979734492	0.453	0.368	0.199623992610082
KLF2	1.44410336866412e-15	0.0976380088660411	0.452	0.274	2.55447444882997e-11
KLF3	5.90110217509111e-10	0.0935111480418577	0.232	0.135	1.04384596375187e-05
RPS24	1.11190369871382e-08	0.0924852329166952	0.998	0.998	0.000196684645265487
MBP	0.000503543084914895	0.0921111520447242	0.58	0.525	1
ENC1	1.09261941223977e-08	0.0912629482159788	0.175	0.097	0.000193273447831094
NACA	6.48493967061475e-06	0.0889427499603843	0.981	0.984	0.114712097833504
RPL14	1.55692650917442e-07	0.0885847634666792	0.998	0.996	0.00275404730207864
BIN2	0.0098604452876252	0.088146687882283	0.518	0.483	1
HCST	3.91735497646856e-05	0.0878394486093284	0.937	0.913	0.692940921787524
EEF1A1	7.37534175482115e-10	0.0875602023831075	1	1	1.30462420301031e-05
MT2A	0.00162065916333179	0.0859548633028394	0.616	0.564	1
TKTL1	8.30929455681804e-05	0.0833973867824541	0.04	0.015	1
PLEKHA1	5.64326872589814e-10	0.0833933639407589	0.162	0.082	9.98237804924122e-06
SAMD3	0.000765309092988745	0.0832190005088045	0.453	0.396	1
RORA	0.00019711779685661	0.0828110220016655	0.385	0.316	1
DSTN	0.00103165697840968	0.0825495939082881	0.363	0.307	1
RPL5	4.09153889403441e-06	0.0819783920406252	0.993	0.981	0.0723752314965746
CEP78	1.15454160235602e-05	0.0808890410606949	0.18	0.12	0.204226864040757
JAK1	0.00196886220407821	0.0808756557967867	0.708	0.678	1
NRROS	1.7575134413259e-11	0.0804977454222841	0.11	0.041	3.10886552636138e-07
TXNIP	0.00913643938768255	0.0802122194634872	0.555	0.511	1
CD37	0.00728965485487432	0.079129035895583	0.77	0.758	1
FEZ1	1.01087369727506e-10	0.0780117451355042	0.086	0.027	1.78813448310986e-06
MYBL1	1.70668800109968e-07	0.0773001408534901	0.229	0.148	0.00301896040514522
CCND3	0.00117885643646049	0.0765092817636867	0.528	0.474	1
NCR1	1.10514235101493e-06	0.0764730254502596	0.166	0.101	0.0195488630471031
SRPK2	1.45356424427882e-05	0.075948836895915	0.311	0.235	0.257120979170481
CLIC1	7.18153548566975e-05	0.074737848147661	0.882	0.86	1
AL157402.2	6.02186519690936e-07	0.074628649363299	0.143	0.081	0.010652077346813
UCP2	0.0699619445778007	0.0743132630330019	0.47	0.452	1
TRBV9	0.957046299325641	0.0741813061493247	0.037	0.038	1
CD320	0.000193290149085433	0.0733275683601183	0.189	0.137	1
THEMIS2	1.43603710408992e-08	0.0730723633843055	0.143	0.074	0.000254020603342466
TRBV5-6	0.0278697999362621	0.0727000189200065	0.044	0.027	1
TRAF3IP3	0.0113144954842829	0.0720287119662018	0.484	0.446	1
TBX21	8.12446155060167e-05	0.0719597984346733	0.282	0.216	1
UTS2	1.642606918533e-07	0.0708665519941731	0.201	0.124	0.00290560737819302
RASGRP2	8.67372574682155e-07	0.0708110332307997	0.192	0.122	0.0153429534735526
SYTL1	0.0107513800376073	0.069141230755781	0.342	0.3	1
KLRC3	0.000410220217237361	0.0689072359752176	0.279	0.216	1
