ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0032930	positive regulation of superoxide anion generation	16	0.869806668886657	2.06395633775479	0.000132222835808688	0.00687805891692672	0.00568694774378342	212	tags=38%, list=1%, signal=37%	TYROBP/ITGB2/CYBA/ITGAM/GSTP1/SYK
GO:0002251	organ or tissue specific immune response	15	0.854158937538807	2.03485074665074	0.000603578824067229	0.0190881803111261	0.015782575471423	413	tags=20%, list=3%, signal=19%	XCL1/CD160/FAU
GO:0035633	maintenance of blood-brain barrier	28	0.750053930148725	2.03060448437532	0.000176630329963493	0.00840277279125471	0.0069476185569086	132	tags=11%, list=1%, signal=11%	ITGB1/MBP/VCL
GO:0002283	neutrophil activation involved in immune response	15	0.849430186164331	2.02358550918474	0.000709868138123867	0.0207076222340829	0.0171215697576282	212	tags=33%, list=1%, signal=33%	TYROBP/FCER1G/ITGB2/ITGAM/SYK
GO:0002888	positive regulation of myeloid leukocyte mediated immunity	18	0.809876382828684	2.00190537211711	0.00160112620212093	0.0339931993723958	0.028106410661746	236	tags=22%, list=2%, signal=22%	TYROBP/ITGB2/ITGAM/HLA-E
GO:0002385	mucosal immune response	13	0.859260823297283	1.99494913631925	0.00138548487980416	0.0308464353639599	0.0255045890294897	413	tags=23%, list=3%, signal=22%	XCL1/CD160/FAU
GO:0033623	regulation of integrin activation	16	0.839406638185632	1.99182038125122	0.000478737769638921	0.0166901815319406	0.0137998512883946	67	tags=19%, list=0%, signal=19%	PLEK/RAP1B/CXCL13
GO:0033625	positive regulation of integrin activation	10	0.89411223534633	1.98228136184121	0.00223891344739045	0.041850334294935	0.0346028824512464	67	tags=30%, list=0%, signal=30%	PLEK/RAP1B/CXCL13
GO:0090322	regulation of superoxide metabolic process	26	0.73002773152509	1.89573194590111	0.000499161100634089	0.0170449735345358	0.0140932020146738	212	tags=23%, list=1%, signal=23%	TYROBP/ITGB2/CYBA/ITGAM/GSTP1/SYK
GO:0002886	regulation of myeloid leukocyte mediated immunity	52	0.652974094778531	1.82143997127976	3.15068594378616e-05	0.00275790301292011	0.00228030182735154	236	tags=17%, list=2%, signal=17%	TYROBP/CX3CR1/ITGB2/CD300A/FGR/ITGAM/LYN/SYK/HLA-E
GO:0032928	regulation of superoxide anion generation	19	0.749503611311308	1.79177409283349	0.00159835981660958	0.0339931993723958	0.028106410661746	212	tags=32%, list=1%, signal=31%	TYROBP/ITGB2/CYBA/ITGAM/GSTP1/SYK
GO:0010543	regulation of platelet activation	38	0.643110263050932	1.78046995789403	0.0015303666848332	0.0330155851464402	0.0272980952512882	212	tags=13%, list=1%, signal=13%	PLEK/FCER1G/LYN/TXK/SYK
GO:0043277	apoptotic cell clearance	37	0.641416219240978	1.76993193545769	0.000644282559455904	0.0197037182743492	0.01629151735073	199	tags=8%, list=1%, signal=8%	TYROBP/RAC1/ANXA1
GO:0036230	granulocyte activation	38	0.632190193236996	1.75023741868749	0.00200580724539781	0.0384976659582215	0.031830814072157	318	tags=24%, list=2%, signal=23%	TYROBP/FCER1G/ITGB2/CCL3/CD300A/ITGAM/ANXA1/SYK/CXCR2
GO:0002690	positive regulation of leukocyte chemotaxis	76	0.520780859035796	1.72220948466587	0.00176350759192432	0.0354356796268981	0.029299088701855	318	tags=21%, list=2%, signal=21%	XCL1/XCL2/CX3CR1/CCL4/CCL3/CXCL13/RAC1/TNFSF14/RIPOR2/MAPK1/CALR/CMKLR1/GPSM3/CAMK1D/CD74/CXCR2
GO:0002275	myeloid cell activation involved in immune response	77	0.504047194250648	1.68144431812701	0.00170108420373455	0.0351506792283035	0.0290634433848636	212	tags=17%, list=1%, signal=17%	TYROBP/FCER1G/CX3CR1/ITGB2/CCL3/PTGDS/CD300A/PTGDR/FGR/ITGAM/LYN/PYCARD/SYK
GO:0032870	cellular response to hormone stimulus	442	-0.531328539716592	-1.19938900490549	0.00249738409822372	0.0440327225652023	0.0364073345793189	3543	tags=32%, list=23%, signal=26%	NCOA1/C2CD5/PELP1/KDM1A/AP3S1/PIP4K2C/RANGAP1/JAK2/TSC2/KLF9/MKKS/PIK3C2A/PARP1/APEX1/RXRB/DAXX/GSK3B/INSIG1/CRY1/UBR5/SYAP1/HSF1/KDM4C/PTPRA/ZNF592/INPP5K/KDM5D/CDK4/SHC1/PHIP/ZNF106/SOS2/NCOA3/AKT1/STAT1/WBP2/PDPK1/PIP4K2A/SRA1/RAN/GRB2/NCOA4/MZB1/PLPP1/RNF6/YWHAG/APC/CTSS/SRSF5/PTGER4/PHB2/KMT2D/UFM1/NOTCH1/TADA3/ZDHHC7/NCK1/PKN1/NR4A3/KAT2B/STAT5B/USO1/SELENOS/STAT6/DENND4C/MYO5A/PRKAA1/APRT/UBE3A/OSBPL8/SOS1/SAFB2/URI1/EP300/NR1H2/PTPN11/PIK3R1/PKM/PARK7/GNG2/LATS1/ATP5F1A/ARID1A/STAT5A/GNB1/NCOR2/EIF4EBP2/RWDD1/SMARCC1/ARID1B/RAF1/RBM4/TAF7/NCOA2/TMF1/CNOT1/PMEPA1/NR3C1/RELA/ZMIZ1/REST/FOXO1/ZBTB7A/PER1/LPIN2/RAB10/DDX17/HNRNPU/PTGES3/CNOT2/NCOR1/PTPN1/USP8/UBE2L3/CTSD/ARID5A/SERPINB9/CFLAR/DDX5/LPIN1/SAFB/LEPROTL1/PRKDC/OGT/ROCK1/DNAJA1/PDE3B/ZFP36L2/SOCS3/CSF1/ATP1A1/JAK3/STAT3/HSPA8/FOS/DDIT4/SOCS1/FOSB/ZFP36/NR4A1/HSPA1B/HSPA1A
GO:0007005	mitochondrion organization	489	-0.532627920146308	-1.20342289573476	0.00177638676530138	0.0355660745887319	0.0294069024532284	4767	tags=48%, list=30%, signal=34%	SMIM20/MAIP1/FBXL4/AP3B1/TMEM242/NDUFB6/TIGAR/RNF41/BMF/TRMT10B/SDHAF1/WDR45/MFN2/GHITM/TIMM29/ATF2/ATG9A/TIMM10B/STAT2/AKT3/FBXW7/MFSD14A/MTX2/HPS4/RCC1L/MIEF1/PANK2/TIMM17A/VPS11/TIMM23/TIMM9/PISD/NDUFB7/IFIT2/NDUFB10/VDAC2/RRM1/AIFM1/PLA2G6/NDUFAF6/DNAJA3/NDUFS1/POLDIP2/TIMM23B/BAP1/HAX1/UBE2J2/JTB/COX16/SREBF2/TMEM70/OPTN/SSBP1/GCLC/HTRA2/TMEM11/MTCH2/TIMM22/AMBRA1/ZDHHC6/RAP1GDS1/NDUFAF4/BIK/CCAR2/MAN2A1/FAM162A/HIP1R/ARMCX3/NPEPPS/NDUFA10/TSC2/UQCC2/MOAP1/MIGA2/METTL4/VPS13A/PRDX3/BAD/LETM1/VDAC1/TFRC/COA1/PARP1/COX7A2L/SCO1/MTERF4/PMPCA/ATG4B/NDUFB5/GABPB1/NDUFA9/GGCT/TMEM135/AFG3L2/GSK3B/BID/SLC25A6/MPV17/SIRT7/DDHD1/NDUFA1/ARIH2/FKBP8/BAG4/SAE1/DNAJC11/LETMD1/ATG13/ARMC1/OPA1/BAG3/IMMT/HEBP2/NDUFA2/NMT1/AKT1/LMNA/SLC25A36/STOML2/VPS13D/TIMM13/FMC1/AIP/GABARAPL2/COA4/BLOC1S2/TMEM14A/CHCHD3/TMEM126B/PHB2/PPIF/BECN1/FIS1/DNAJC19/BAK1/HSPA4/NDUFB4/STMP1/USP36/TIMM8B/RETREG1/NDUFA5/TIMM10/PLSCR3/VPS35/UQCRFS1/TTC19/TIMM17B/TOMM22/SLIRP/UBL5/PRKAA1/FUNDC2/MFF/ATG2A/PMPCB/NDUFB11/HIGD1A/FBXO7/RAC2/NDUFS7/TNFSF10/COA3/PDCD5/PET100/EP300/NDUFA3/PARK7/DNM1L/SPG7/NDUFB1/NDUFB8/COX19/SOD2/IFI6/SLC25A46/SH3GLB1/MARK2/ATG5/POLG/LMAN1/HSD17B10/RAB5IF/NDUFS8/RHOT2/NDUFA11/PUM2/HIGD2A/COX20/COX7A2/DNAJC15/TOMM5/CISD2/NDUFC1/LRBA/CALM3/RALA/NDUFAF3/NDUFB3/OXA1L/RB1CC1/CHCHD2/HUWE1/CDC37/KIF5B/COX17/NDUFA6/CHCHD7/EPAS1/TOMM20/YME1L1/ATG12/SLC25A5/TYMP/BCL2/UBE2L3/COX14/NDUFA13/VPS13C/GABARAPL1/CHCHD10/UBE2D3/IER3/OGT/HSPD1/ROMO1/PMAIP1/NDUFS5/PLEC/HIF1A/MCL1/GZMB/HSP90AA1/HSPA1A
