p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
CD3D	9.21181853887533e-202	0.848682060812952	0.901	0.249	1.22517186567042e-197	CD8+ T cells	CD3D
CD8B	9.53775563599809e-191	0.918141844887145	0.704	0.075	1.26852149958775e-186	CD8+ T cells	CD8B
CD3E	8.28552887273753e-173	0.736512632343597	0.975	0.509	1.10197534007409e-168	CD8+ T cells	CD3E
CD8A	6.67021365212037e-165	0.93305050289686	0.806	0.298	8.87138415732009e-161	CD8+ T cells	CD8A
RPL28	7.97567405300256e-150	0.41797723245825	1	1	1.06076464904934e-145	CD8+ T cells	RPL28
CD3G	2.79933085956199e-140	0.603734170083954	0.723	0.17	3.72311004321745e-136	CD8+ T cells	CD3G
RPS15A	7.20421316319187e-95	0.324256106201929	1	0.998	9.58160350704519e-91	CD8+ T cells	RPS15A
GZMK	4.95457883954692e-90	0.845283359304152	0.55	0.157	6.5895898565974e-86	CD8+ T cells	GZMK
COTL1	2.69241942409018e-86	0.546452230331148	0.69	0.262	3.58091783403994e-82	CD8+ T cells	COTL1
SIT1	2.71798495428033e-85	0.366504760673363	0.388	0.039	3.61491998919284e-81	CD8+ T cells	SIT1
CD5	9.65939708176471e-82	0.367162193827733	0.353	0.028	1.28469981187471e-77	CD8+ T cells	CD5
CD2	3.29356383633366e-80	0.500559953153395	0.792	0.45	4.38043990232376e-76	CD8+ T cells	CD2
RPS12	1.77385127023178e-77	0.294889978849834	1	0.999	2.35922218940827e-73	CD8+ T cells	RPS12
CD27	3.16174953615989e-75	0.40633127929712	0.401	0.065	4.20512688309265e-71	CD8+ T cells	CD27
ITM2C	6.73483477578896e-71	0.519978712453738	0.462	0.123	8.95733025179932e-67	CD8+ T cells	ITM2C
RPLP1	2.08382680161438e-69	0.304877840876352	1	1	2.77148964614712e-65	CD8+ T cells	RPLP1
TRAC	1.67621474910148e-68	0.379696857709237	0.558	0.2	2.22936561630497e-64	CD8+ T cells	TRAC
RPL39	8.34036005220339e-65	0.264192718098514	0.998	0.997	1.10926788694305e-60	CD8+ T cells	RPL39
CD52	1.21577641294151e-63	0.506460930740042	0.882	0.633	1.61698262921221e-59	CD8+ T cells	CD52
CXCR4	1.50331158631471e-60	0.546314889429916	0.768	0.501	1.99940440979856e-56	CD8+ T cells	CXCR4
THEMIS	1.03948837391649e-59	0.293179429852891	0.319	0.047	1.38251953730893e-55	CD8+ T cells	THEMIS
HLA-DRB1	7.83949743793198e-58	0.5708678740503	0.645	0.33	1.04265315924495e-53	CD8+ T cells	HLA-DRB1
IL7R	1.65336657152031e-57	0.545854990599551	0.31	0.047	2.19897754012201e-53	CD8+ T cells	IL7R
RPS25	2.07739548346649e-52	0.25991668086597	0.999	0.993	2.76293599301043e-48	CD8+ T cells	RPS25
VIM	2.75995829652751e-51	0.46669099833929	0.877	0.682	3.67074453438159e-47	CD8+ T cells	VIM
CXCR3	3.04305480303255e-51	0.313260442663587	0.376	0.101	4.04726288803329e-47	CD8+ T cells	CXCR3
CAMK4	2.60332244026474e-48	0.279673285645458	0.334	0.082	3.4624188455521e-44	CD8+ T cells	CAMK4
RGS1	1.1114285131237e-46	0.481353857997413	0.597	0.306	1.47819992245453e-42	CD8+ T cells	RGS1
CD6	1.61179190363486e-44	0.309935248195959	0.412	0.153	2.14368323183437e-40	CD8+ T cells	CD6
RGS10	3.8608367495852e-44	0.297345215991522	0.452	0.19	5.13491287694832e-40	CD8+ T cells	RGS10
FYB1	3.78590520217445e-42	0.339595253540711	0.79	0.577	5.03525391889201e-38	CD8+ T cells	FYB1
TC2N	5.07836952846971e-41	0.290266151066668	0.407	0.158	6.75423147286472e-37	CD8+ T cells	TC2N
RPS19	1.62449170288201e-40	0.254185546210945	1	0.998	2.16057396483307e-36	CD8+ T cells	RPS19
CD74	1.3964616224883e-39	0.55149190289072	0.925	0.902	1.85729395790944e-35	CD8+ T cells	CD74
CYTOR	2.00705387729834e-38	0.284371912853788	0.539	0.284	2.6693816568068e-34	CD8+ T cells	CYTOR
IL32	2.61492223770485e-38	0.275972565435405	0.992	0.84	3.47784657614745e-34	CD8+ T cells	IL32
PLP2	3.30702394068945e-37	0.274917495421572	0.458	0.211	4.39834184111697e-33	CD8+ T cells	PLP2
