ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa05022	Pathways of neurodegeneration - multiple diseases	336	-0.476760531475356	-1.21104638696613	0.0124797337361394	0.0428824893273727	0.0268321262859885	3357	tags=47%, list=29%, signal=34%	FASLG/CAT/ACTR10/ATG14/CASP9/DCTN4/BAK1/NDUFA10/CYC1/MAPK9/NDUFB1/PLCB1/ATG2A/GSK3B/PSMB2/CSNK2A1/ACTR1A/APC/NDUFB3/MAP2K7/NDUFAB1/CCS/ATP5MC1/PSMD14/SPG11/PSMD11/PSMA2/NDUFB4/PRKCB/UBE2L6/WIPI1/SLC25A5/PSMD1/PPIF/CSNK1A1/NDUFB8/CASP8/NDUFS6/VDAC1/ARAF/NDUFA5/AMBRA1/IFT57/SDHB/FIG4/FAS/PSMC1/RAB1A/NDUFV2/ITPR1/ATP5F1A/PSMC4/HTT/NRAS/UBA1/PLCG1/KRAS/MAPK14/BAX/CHMP2B/ERN1/CASP3/ATXN1/PSMD8/ITPR2/BECN1/ATP2A2/CSNK2B/WDR41/PSMB7/ATF6/ATF4/VDAC2/UBE2J1/FUS/DCTN1/MAP2K1/OPTN/RAB8A/NDUFB7/UBC/HTRA2/TUBA1A/PSMB3/NDUFC1/MAP2K2/TANK/RAB5A/ATP5MC3/ATP2A3/TUBA1C/ATP5PO/PSMB1/PSMA1/NDUFB11/FADD/ATP5PF/ATP5F1C/UQCRC2/BCL2L1/NDUFA9/COX7B/NDUFB10/PSMD2/PPP3CC/UQCRFS1/TUBA1B/CALM3/CAPN1/PSMA3/NDUFS4/PSMD12/CALM2/NDUFS8/DAXX/RAF1/UQCRQ/PSMC5/TARDBP/NDUFA12/SDHC/CSF1/UBA7/NRBF2/CTNNB1/PSMA4/DERL1/UQCRC1/COX7A2/PSMD6/RB1CC1/COX8A/NDUFA6/PSMB4/RELA/ATXN2L/MAP2K3/CAPN2/TUBB4B/NDUFA2/VCP/KIF5B/NFKB1/UBE2L3/NDUFS5/PSMC6/PSMD7/PSMA5/BCL2/DDIT3/TNFRSF1B/CYCS/PRNP/HSPA5/SQSTM1/TUBA4A/TNF
hsa05014	Amyotrophic lateral sclerosis	283	-0.499727308418191	-1.26578173597795	0.00216440610994993	0.0104544508374668	0.00654148463677248	3336	tags=48%, list=29%, signal=35%	CAT/CHCHD10/ACTR10/NUP50/ATG14/CASP9/NUP93/DCTN4/NDUFA10/CYC1/NDUFB1/ATG2A/PSMB2/ACTR1A/NCBP1/NDUFB3/NDUFAB1/CCS/ATP5MC1/PSMD14/NUP214/SPG11/PSMD11/PSMA2/NDUFB4/WIPI1/PSMD1/NDUFB8/ACTB/NDUFS6/ACTG1/VDAC1/POM121C/NDUFA5/AMBRA1/NUP37/SDHB/FIG4/UBQLN1/ANXA11/PSMC1/RAB1A/NDUFV2/ATP5F1A/PSMC4/NUP88/MAPK14/BAX/CHMP2B/ERN1/CASP3/PSMD8/BECN1/WDR41/NUP58/PSMB7/ATF6/ATF4/UBQLN2/FUS/DCTN1/OPTN/RAB8A/NDUFB7/TUBA1A/PSMB3/NDUFC1/TANK/RAB5A/ATP5MC3/TUBA1C/ATP5PO/PSMB1/PSMA1/NDUFB11/ATP5PF/TPR/ATP5F1C/UQCRC2/BCL2L1/SETX/NDUFA9/COX7B/NDUFB10/ANXA7/PSMD2/PPP3CC/UQCRFS1/TUBA1B/PSMA3/NDUFS4/PSMD12/NXT1/NDUFS8/DAXX/UQCRQ/PSMC5/TARDBP/NDUFA12/NUP210/SDHC/NRBF2/SEC13/PSMA4/DERL1/UQCRC1/COX7A2/PSMD6/RB1CC1/COX8A/NUP98/SRSF7/NDUFA6/PSMB4/ATXN2L/MAP2K3/TUBB4B/NDUFA2/VCP/KIF5B/SRSF3/NDUFS5/PSMC6/PSMD7/PSMA5/BCL2/DDIT3/HNRNPA3/RANBP2/TNFRSF1B/CYCS/HSPA5/SQSTM1/TUBA4A/TNF
hsa05131	Shigellosis	189	-0.514389131657113	-1.29125102203172	0.00494507246726243	0.0207436156743606	0.0129795476926095	2260	tags=33%, list=20%, signal=27%	CGAS/ITPR1/VCL/RPS6KB2/ATG16L1/PLCG1/TAB2/MAPK14/BAX/FOXO1/ATM/ITPR2/FOXO3/BECN1/UBE2V2/CALCOCO2/ATG12/RRAGA/ITGA5/UBC/ROCK1/ARF6/MALT1/PIK3CD/MYD88/BCL2L1/ATG5/BCL10/RIPK2/UBE2N/CAPN1/FNBP1/CASP4/CAPNS1/U2AF1/UBE2V1/CDC42/RBCK1/ITGB1/TNIP1/RELA/ARPC4/ACTN4/CAPN2/PXN/ARHGEF2/NFKB1/ACTR3/NFKBIB/PIK3R1/CAST/UBE2D3/BCL2/ACTR2/TLN1/CD44/ARPC1B/CYCS/CSF2/SQSTM1/NFKBIA/TNF/JUN
hsa04810	Regulation of actin cytoskeleton	144	-0.523065829584187	-1.30385346498107	0.00860247944748398	0.0319379409372106	0.0199839812936107	1591	tags=29%, list=14%, signal=25%	PPP1R12A/PDGFD/MAP2K1/ITGA5/MAP2K2/ROCK1/ARHGEF12/LIMK1/PIK3CD/GNA13/ITGAX/ARHGEF7/ITGA1/RAF1/NCKAP1L/PDGFRB/MYH9/PPP1CB/CDC42/ITGAE/F2R/VAV1/IQGAP1/ITGB1/ARPC4/ACTN4/IQGAP2/PXN/ACTR3/ITGAM/PAK2/ITGB7/PIK3R1/ITGA4/ACTR2/SSH2/CYFIP2/ARHGEF1/ARPC1B/EZR/RGCC/CXCR4
hsa04218	Cellular senescence	132	-0.527238061251222	-1.30955390124374	0.0123426079218053	0.0428673371907862	0.0268226453988299	2229	tags=35%, list=19%, signal=28%	ITPR1/ATR/GADD45G/NRAS/KRAS/MAPK14/FOXO1/ATM/EIF4EBP1/HIPK3/ITPR2/FOXO3/VDAC2/MAP2K1/SMAD2/MAP2K2/TRPM7/PIK3CD/TGFBR2/RBBP4/PPP3CC/HLA-F/CALM3/CAPN1/CALM2/RAF1/NFATC3/NBN/PPP1CB/E2F4/RELA/MAP2K3/CAPN2/NFKB1/CDK6/PIK3R1/KIR2DL4/HIPK2/CDKN1A/NFATC2/RASSF5/GADD45B/HLA-A/CCND2/HLA-C/SQSTM1
hsa04062	Chemokine signaling pathway	130	-0.52969015743128	-1.31480005386657	0.0147362988954858	0.0480790357903223	0.0300836723863186	1142	tags=22%, list=10%, signal=20%	STAT1/WAS/GRK2/RAF1/GNB2/PREX1/JAK3/PTK2B/CDC42/GNAI3/VAV1/RAP1A/PIK3CG/RELA/ITK/PXN/DOCK2/NFKB1/NFKBIB/PIK3R1/STAT3/GNG2/CCL4/CCL3/CXCR4/NFKBIA/CCL4L2/CCL3L1
hsa05017	Spinocerebellar ataxia	111	-0.535055287041346	-1.31974479880347	0.0152308088102179	0.0489046353380921	0.0306002606645386	3313	tags=48%, list=29%, signal=34%	ATG14/MAPK9/PLCB1/ATG2A/PSMB2/PSMD14/PUM1/PSMD11/PSMA2/PRKCB/WIPI1/AKT1/SLC25A5/PSMD1/PPIF/PIK3CA/VDAC1/OPA1/AMBRA1/NOP56/PSMC1/ITPR1/PSMC4/ERN1/ATXN1/PSMD8/ITPR2/BECN1/ATP2A2/PSMB7/VDAC2/PSMB3/ATP2A3/PSMB1/PSMA1/PIK3CD/PSMD2/PSMA3/PSMD12/PSMC5/NRBF2/PSMA4/PSMD6/RB1CC1/GTF2B/PSMB4/RBPJ/ATXN2L/PIK3R1/PSMC6/PSMD7/PSMA5/CYCS
hsa04921	Oxytocin signaling pathway	93	-0.542541516331792	-1.32872794244885	0.0152921615143879	0.0489046353380921	0.0306002606645386	2667	tags=31%, list=23%, signal=24%	ACTB/ACTG1/ELK1/PRKAG2/ADCY7/ITPR1/NRAS/KRAS/PRKAG1/ITPR2/PPP1R12A/PRKACB/MAP2K1/MAP2K2/ROCK1/PPP3CC/CALM3/CALM2/RAF1/NFATC3/PPP1CB/GNAI3/PIK3CG/CDKN1A/NFATC2/CD38/RGS2/FOS/JUN
hsa05205	Proteoglycans in cancer	128	-0.536111535477728	-1.330853579457	0.0081536660554352	0.0312817552216869	0.0195733974338076	3101	tags=43%, list=27%, signal=32%	MDM2/FRS2/TGFB1/PDPK1/PRKCB/AKT1/ACTB/RDX/ACTG1/PIK3CA/ARAF/ELK1/FAS/MYC/GRB2/ITPR1/RPS6KB2/DROSHA/EIF4B/NRAS/PLCG1/MSN/KRAS/MAPK14/CASP3/ITPR2/PPP1R12A/PRKACB/MAP2K1/ITGA5/SMAD2/PTPN11/MAP2K2/ROCK1/ARHGEF12/NUDT16L1/PIK3CD/PDCD4/RAF1/PPP1CB/CDC42/CTNNB1/VAV1/IQGAP1/ITGB1/PXN/PIK3R1/CDKN1A/ARHGEF1/CD44/FLNA/STAT3/EZR/HIF1A/TNF
hsa04510	Focal adhesion	117	-0.541650761072039	-1.33909693549993	0.0083115820298203	0.0312817552216869	0.0195733974338076	982	tags=21%, list=8%, signal=20%	ITGA1/RAF1/PDGFRB/PPP1CB/CDC42/CTNNB1/VAV1/FYN/ITGB1/RAP1A/ACTN4/CAPN2/PXN/PAK2/VASP/ITGB7/PIK3R1/ITGA4/BCL2/BIRC2/TLN1/FLNA/CCND2/BIRC3/JUN
