Description	NES	pvalue
Chemokine signaling pathway	-1.31480005386657	0.0147362988954858
ErbB signaling pathway	-1.39757949432108	0.0101416135100162
HIF-1 signaling pathway	-1.40653846701327	0.0122913330604215
PI3K-Akt signaling pathway	-1.42587544633002	0.000123567110218771
cAMP signaling pathway	-1.48691459971384	0.000417793295243736
MAPK signaling pathway	-1.51310131751268	4.26165508996739e-07
T cell receptor signaling pathway	-1.62403398788706	4.89311413032915e-06
JAK-STAT signaling pathway	-1.6556310885449	2.7910514679696e-06
NF-kappa B signaling pathway	-1.67962645179833	8.93811615258485e-07
Toll-like receptor signaling pathway	-1.71303562383218	3.60334218473559e-06
TNF signaling pathway	-1.73415268542021	7.5584392446113e-08
IL-17 signaling pathway	-1.88852659541771	5.12373154289701e-09
