	p_val	avg_logFC	pct.1	pct.2	p_val_adj
KLRB1	8.73459856289842e-23	0.579802565014641	0.874	0.573	1.16170160886549e-18
XCL1	1.0069673673153e-12	0.411038543146435	0.595	0.32	1.33926659852935e-08
TYROBP	5.38535796475245e-16	0.346736251024735	0.978	0.862	7.16252609312076e-12
RPS29	6.00237528801061e-14	0.315158433978269	0.98	0.996	7.98315913305411e-10
CTSW	6.90033321376643e-12	0.314580769346187	0.944	0.871	9.17744317430936e-08
RPL41	2.86246213678563e-14	0.296989481022639	0.988	0.982	3.80707464192489e-10
XCL2	4.0795649944497e-06	0.272029139883733	0.607	0.458	0.054258214426181
PLEK	1.18492695598835e-05	0.254271388846848	0.713	0.613	0.15759528514645
AES	4.32878083297583e-06	0.253418258760842	0.737	0.649	0.0575727850785785
FCER1G	1.09579026300506e-05	0.243574336943442	0.673	0.52	0.145740104979673
MYL12A	1.08023495512168e-09	0.24337759957231	0.974	0.92	1.43671249031184e-05
RPS4X	7.69121980035344e-11	0.231015216506715	1	0.987	1.02293223344701e-06
ITM2B	2.24489824926307e-06	0.226257978489505	0.816	0.729	0.0298571467151988
CST7	1.80606936760843e-09	0.216370818899629	0.998	0.987	2.40207225891922e-05
PPDPF	7.46436617299237e-06	0.215430619777994	0.776	0.702	0.0992760701007985
RPS27	8.14518770359419e-10	0.20936293225291	1	1	1.08330996457803e-05
RAP1B	1.53924162341838e-05	0.207272492450172	0.782	0.724	0.204719135914644
RPL23A	6.29083279362942e-07	0.199564182714342	0.988	0.987	0.00836680761552712
FTL	5.44108740564943e-08	0.197273670065125	0.992	0.978	0.000723664624951374
GIMAP4	0.00130610021584733	0.196460405986024	0.569	0.498	1
FGFBP2	1.61613225121781e-05	0.194874575542257	0.876	0.782	0.214945589411968
RPL9	6.02363867998202e-06	0.189777410147091	0.962	0.938	0.0801143944437609
CCL5	3.45881704371237e-06	0.189062904828524	0.972	0.951	0.0460022666813745
RPS21	4.70822355124902e-07	0.188112050848534	1	0.996	0.00626193732316119
EMP3	0.000198435722800478	0.185421374922343	0.762	0.684	1
RPL22	2.05141875754289e-06	0.181102944764586	0.978	0.924	0.0272838694753204
TMA7	1.07904461552812e-05	0.177919486643107	0.938	0.92	0.14351293386524
RPS24	8.32297156580504e-09	0.17647280351892	1	1	0.000110695521825207
HCST	1.59957108112279e-05	0.17643983527146	0.966	0.871	0.212742953789331
TRBC1	0.000709059831005366	0.174844815510084	0.798	0.729	1
CD37	0.000749343146830591	0.173087486197702	0.76	0.698	1
EIF3G	0.000526247720837597	0.171201024574156	0.695	0.631	1
KLRG1	0.00147377541906022	0.167940080214104	0.357	0.244	1
PYHIN1	0.00722747177638196	0.167929749688951	0.529	0.449	1
FYB1	0.00167949990388859	0.167713504899007	0.567	0.476	1
RPL36A	0.00264864789962746	0.166245828044671	0.78	0.769	1
NACA	4.47000335761275e-06	0.166001977735959	0.986	0.991	0.0594510446562496
EEF1A1	3.62294586029735e-10	0.165429944517428	1	1	4.81851799419547e-06
RPL38	0.000703570092012159	0.164987397172885	0.866	0.853	1
PFDN5	3.1648948055968e-05	0.164533574313567	0.932	0.884	0.420931009144375
RPL30	2.06262031203161e-08	0.164389344563811	1	0.996	0.000274328501500205
HMGB1	0.000119439805212109	0.162919200305467	0.856	0.84	1
PTPRCAP	0.000465867384581177	0.162840456134555	0.95	0.911	1
RPL37A	0.000133609654968656	0.162784403877573	0.992	0.982	1
RPL5	9.63439943498359e-06	0.161624696669965	0.99	0.96	0.128137512485282
LSP1	0.00171252544744756	0.160226007885567	0.83	0.836	1
CD247	0.000166047431109879	0.158827672947234	0.924	0.907	1
CD52	0.00384882411058734	0.15876867229478	0.657	0.573	1
MT-ATP8	6.02743770401781e-08	0.156479240929945	1	1	0.000801649214634369
SERF2	2.38710555753247e-06	0.155800934976247	0.988	0.973	0.0317485039151819
CD160	0.00187815556805913	0.154723089688337	0.236	0.138	1
ATP5MC2	0.00014147449046203	0.154193818012598	0.846	0.871	1
CALM1	0.000266310192588562	0.151871517425122	0.978	0.951	1
AL157402.2	0.00011391862664301	0.15178776941323	0.196	0.084	1
RPS13	1.28986271566499e-06	0.150170389600245	1	0.973	0.0171551741183443
MT2A	0.139045700949154	0.149660582231162	0.575	0.587	1
RPS23	6.63086493523796e-06	0.148243841232332	1	0.991	0.0881905036386649
TRAF3IP3	0.0105803290346732	0.144745639663505	0.513	0.436	1
ZFP36L1	0.00117983263699439	0.142392211337166	0.758	0.702	1
RPL10A	0.0002317962511918	0.141808766990663	0.956	0.92	1
NKG7	4.00124227326891e-06	0.141754816668903	1	0.996	0.0532165222344765
RPL18A	2.04817900182377e-05	0.140456601231857	0.998	0.987	0.272407807242561
EIF3K	0.00268434211787578	0.140209943179097	0.723	0.698	1
SLC9A3R1	0.00635034504583061	0.138803044162818	0.693	0.667	1
ARHGDIB	0.000239275022120663	0.138624225041164	0.954	0.933	1
UBA52	0.000536890158533826	0.136831518636072	0.956	0.951	1
CLIC3	0.0113606935357054	0.136314340278267	0.727	0.649	1
RPS28	3.97643342902385e-05	0.134067370493843	1	0.996	0.528865646060172
RPSA	0.00117383133901664	0.133695618122581	0.974	0.947	1
SRP14	0.00337860235782861	0.133691484578805	0.78	0.787	1
CYBA	0.000129575606230032	0.132840754487606	0.97	0.956	1
GZMM	0.0151608584899861	0.132560229815779	0.731	0.733	1
SNRPD2	0.0116718619201097	0.132524064104486	0.661	0.649	1
RPL24	0.000152915745857472	0.129939218385697	0.97	0.978	1
RPL7	0.015035506415837	0.128869128047399	0.723	0.667	1
ALOX5AP	0.00138625627263751	0.126164645291096	0.677	0.582	1
GZMH	0.00322107704137873	0.125721078622153	0.862	0.778	1
RPL26	0.000154470595321784	0.125685653071895	1	0.996	1
RPS14	0.000291790001562477	0.125621990138655	1	1	1
RPS10	0.0886302797097039	0.123396081714445	0.529	0.511	1
RPL27	0.00072101777036993	0.123028033988362	0.952	0.916	1
RPL31	0.00783648478248467	0.122696248534515	0.856	0.867	1
LCK	0.0462953705776194	0.122508598794097	0.605	0.578	1
UQCRB	0.0416033826615792	0.122468574535911	0.691	0.693	1
PCBP1	0.0394420688272868	0.122401699218228	0.633	0.6	1
RPL4	0.0306431746941395	0.121603929305328	0.864	0.898	1
RPS27A	6.4908699190429e-06	0.121165210081749	1	0.996	0.0863285699232706
RARRES3	0.00518483089197562	0.120747656723225	0.8	0.778	1
RPL34	0.000168773544999222	0.11999876682144	1	0.996	1
RPL37	0.000755335176763576	0.118635460449207	1	0.996	1
RPL11	0.00028187090115754	0.11803315921965	1	0.996	1
RPL7A	0.000107385826596274	0.11648236960199	0.998	0.996	1
TRBC2	0.0466961585676073	0.115886397911399	0.683	0.698	1
RPS15A	5.83445253034506e-05	0.115441648770221	1	1	0.775982186535893
KLRF1	0.0474264974744515	0.11527035797253	0.651	0.582	1
MT-CO1	2.17247691474659e-06	0.114901811228021	1	1	0.0288939429661296
EEF1D	0.00209734033355751	0.11414668267279	0.968	0.964	1
CLIC1	0.00204048503750641	0.112408819424713	0.882	0.867	1
CIRBP	0.0428502127598161	0.11144849895129	0.711	0.724	1
EEF1G	0.0566624031693454	0.111445865608696	0.743	0.782	1
CX3CR1	0.0362136128949616	0.111270085802906	0.527	0.449	1
TRIR	0.0453408325222176	0.110597835700561	0.709	0.756	1
GSTP1	0.0509964845750039	0.110402639555143	0.671	0.667	1
PSME1	0.0137864775567554	0.108541946752876	0.828	0.796	1
RPS8	0.000319615498429045	0.108385414195844	1	0.996	1
YPEL3	0.0177796377201451	0.108274908513468	0.515	0.418	1
CMC1	0.559525085906087	0.107950580680053	0.493	0.502	1
RPS3	0.000619637291042128	0.107922643036872	1	0.996	1
RPS5	0.00393744646678595	0.107663677794712	0.976	0.96	1
RPL29	0.000469096239868851	0.107477514329902	0.998	0.991	1
RPL15	0.00134953967156339	0.106954068390315	0.994	0.991	1
HINT1	0.0913872177082638	0.106865500425624	0.655	0.658	1
BTF3	0.0319566917939183	0.106510507118361	0.876	0.893	1
RPL39	0.000244585783000145	0.106321405559382	1	0.996	1
RPL14	0.000819362751553155	0.101970439145272	0.998	0.991	1
COX6B1	0.0858504425990464	0.101684996683439	0.633	0.636	1
GPSM3	0.0580279642609535	0.0996275809020765	0.643	0.578	1
GMFG	0.107153916638704	0.0995823310095371	0.575	0.56	1
ATP5F1E	0.00661109077874208	0.0989326799280525	0.978	0.942	1
RPS25	0.00763624487552345	0.0987114615365283	0.996	0.987	1
CNBP	0.144148696057765	0.0975944689976911	0.687	0.676	1
TOMM7	0.0509511532642908	0.0973830918882521	0.806	0.844	1
RPL21	0.00988917219301671	0.0971763258307199	0.994	1	1
LINC00861	0.21715460972236	0.0961308474291668	0.499	0.48	1
RPL6	0.00481891344005587	0.0942517363218918	1	0.996	1
IFITM1	0.0360992354699036	0.09339222697065	0.988	0.987	1
CAPN12	0.00088830807846653	0.0932764318258699	0.136	0.053	1
H3F3A	0.0189845604011622	0.0931053147344427	0.946	0.947	1
JAK1	0.0647673831510721	0.0926372403210324	0.749	0.733	1
COMMD6	0.0882479132750056	0.0922670094331643	0.754	0.809	1
PTOV1	0.00207809072735308	0.091781511373302	0.14	0.062	1
RPL3	0.00146220445302473	0.0917639248485553	1	1	1
SYTL1	0.178091455153191	0.0916647289819227	0.423	0.387	1
GABARAP	0.0844080874523485	0.0915204801574251	0.685	0.698	1
RPL19	0.00251498420592026	0.0909452883453756	1	1	1
DENND2D	0.531873379399211	0.0897943246433744	0.419	0.427	1
NCR3	0.0223839209355195	0.0894710214052166	0.441	0.351	1
SKP1	0.240446209808677	0.0892584476679011	0.617	0.649	1
DYNLL1	0.476905939255226	0.0875890985265687	0.507	0.533	1
RPS15	0.00485015994808387	0.0875390385936941	1	1	1
RCBTB2	0.00135361498931464	0.0870517110833015	0.126	0.049	1
SCML4	0.224353908058258	0.0868150190894868	0.299	0.267	1
RPLP2	0.00534645673016692	0.0858622662670734	0.998	1	1
FAU	0.00144801312038812	0.0855204443529605	1	0.996	1
MYL12B	0.0381786616955379	0.0854266570408723	0.798	0.813	1
LAPTM5	0.0694553837339696	0.0854173948228487	0.764	0.738	1
RPL27A	0.0704166084613116	0.0843004564015222	0.703	0.707	1
TXNIP	0.285611805027861	0.0835088394490989	0.683	0.676	1
RPL13	0.00209861803423245	0.082640217797445	1	0.996	1
BIN2	0.261053697104134	0.0823206295016473	0.589	0.582	1
NPRL2	0.0335110629577802	0.0812127635408168	0.21	0.147	1
SRSF9	0.096255662071386	0.0806330907176805	0.473	0.418	1
BST2	0.414134185076511	0.0803824904610279	0.427	0.422	1
CLINT1	0.0207901960712071	0.0786461368163501	0.214	0.142	1
PFN1	0.00176700780464584	0.0780539069190898	0.998	0.956	1
FCMR	0.325436250803475	0.0780019673272509	0.425	0.404	1
ELOB	0.401526112370497	0.0775987871149875	0.641	0.702	1
COX5B	0.249372170696481	0.0772695633004684	0.535	0.524	1
RAC1	0.138001519354934	0.0771547250500177	0.481	0.436	1
RACK1	0.0237845038057199	0.0770403929150414	0.974	0.987	1
AHNAK	0.332135634167731	0.0764103940480225	0.623	0.622	1
PPIA	0.0293415187256165	0.0754847794304767	0.97	0.969	1
GZMA	0.00514184750882451	0.0750310392034486	0.948	0.893	1
FLI1	0.0986157656227398	0.0748173464270949	0.273	0.218	1
NUCKS1	0.132777173653666	0.0745528933292488	0.341	0.293	1
RPS2	0.00855700349838348	0.0745001737919031	0.99	0.956	1
ZFP36L2	0.0084138153392318	0.0744314320203407	0.936	0.862	1
LINC02446	0.136938385844608	0.0744131497048242	0.106	0.071	1
C1orf162	0.0584715202806226	0.0744020324792389	0.281	0.209	1
