ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0002181	cytoplasmic translation	151	0.736399043598709	1.78924761057428	4.53351449395812e-10	2.52788768183105e-06	2.36219965737818e-06	1393	tags=51%, list=9%, signal=47%	RPL36A/RPL41/RPL8/RPS24/RPS19/RPL10/RPL18A/RPS29/RPL39/RPL34/RPL11/RPL12/RPL30/RPL26/EIF4A1/SH3BGRL/RPL14/RPL29/RPL32/FAU/RPS27/RPL28/RPS8/RPS4X/RPL37/RPS23/RPS12/RPS15A/RPL19/RPS21/RPS13/RPL6/EIF3F/EIF3K/EIF3H/RPL24/RPS14/RPS15/RPL35A/CNBP/YBX1/RPLP1/RPS10/RPL36/RPS28/RPS2/RPLP2/RPL13/RPL9/RPL18/EIF3G/RPL5/RPS17/EIF3M/RPS9/PABPC1/EIF4A2/RPS27A/MIF4GD/RPL22/ZC3H15/RPS3/EIF3E/RPL7A/ZNF385A/ETF1/RPS25/EIF3L/RPL26L1/EIF3D/DENR/RPS18/DHX36/RWDD1/RPL7/UBA52/HNRNPU
GO:0015986	proton motive force-driven ATP synthesis	62	0.778507628779389	1.7532076307238	3.31671680185993e-06	0.0018494012887171	0.00172818401781123	1615	tags=58%, list=11%, signal=52%	ATP6V0C/ATP5MC2/ATP5ME/ATP5F1D/NDUFB1/NDUFB5/NDUFA13/NDUFA11/ATP5MG/NDUFB4/ATP5PD/ATP5PO/ATP5MC3/ATP5MF/NDUFA3/NDUFB10/NDUFB3/NDUFA2/SDHD/ATP5PF/NDUFS7/NDUFA1/ATP5F1E/NDUFA10/NDUFAB1/NDUFS6/NDUFV1/NDUFS2/NDUFA7/NDUFB11/NDUFS4/NDUFA6/ATP5PB/NDUFA12/NDUFC1/NDUFB8
GO:0001975	response to amphetamine	19	0.884972298699164	1.72491916362251	0.000114820739851294	0.0164164216772004	0.0153404227331688	488	tags=32%, list=3%, signal=31%	RGS2/NR4A2/NR4A1/SOD1/CALM3/HDAC9
GO:0009206	purine ribonucleoside triphosphate biosynthetic process	90	0.724934875696173	1.69432482040086	2.86248609101764e-06	0.00181407025919062	0.0016951687274397	1887	tags=52%, list=12%, signal=46%	ATP6V0C/ATP5MC2/ATP5ME/ALDOA/ATP5F1D/NDUFB1/NDUFB5/NDUFA13/NDUFA11/ATP5MG/NDUFB4/ATP5PD/ATP5PO/NME3/ATP5MC3/ATP5MF/NDUFA3/NDUFB10/NDUFB3/NDUFA2/SDHD/ATP5PF/NME4/NDUFS7/NDUFA1/ATP5F1E/NDUFA10/NDUFAB1/NDUFS6/TGFB1/NDUFV1/NDUFS2/NDUFA7/NDUFB11/NDUFS4/NDUFA6/ATP5PB/NDUFA12/PARP1/TMSB4X/NDUFC1/IMPDH1/NDUFB8/SLC25A13/PINK1/NME2/ATP5F1C
GO:0042776	proton motive force-driven mitochondrial ATP synthesis	55	0.767265891055387	1.69396712523089	1.48115881990641e-05	0.00458830087766563	0.00428756500499224	1615	tags=60%, list=11%, signal=54%	ATP5ME/ATP5F1D/NDUFB1/NDUFB5/NDUFA13/NDUFA11/ATP5MG/NDUFB4/ATP5PD/ATP5PO/ATP5MF/NDUFA3/NDUFB10/NDUFB3/NDUFA2/SDHD/ATP5PF/NDUFS7/NDUFA1/ATP5F1E/NDUFA10/NDUFAB1/NDUFS6/NDUFV1/NDUFS2/NDUFA7/NDUFB11/NDUFS4/NDUFA6/ATP5PB/NDUFA12/NDUFC1/NDUFB8
GO:0006754	ATP biosynthetic process	82	0.731630541602762	1.69230912474624	7.40828789893023e-06	0.00258178833277719	0.00241256744077004	1887	tags=52%, list=12%, signal=46%	ATP6V0C/ATP5MC2/ATP5ME/ALDOA/ATP5F1D/NDUFB1/NDUFB5/NDUFA13/NDUFA11/ATP5MG/NDUFB4/ATP5PD/ATP5PO/ATP5MC3/ATP5MF/NDUFA3/NDUFB10/NDUFB3/NDUFA2/SDHD/ATP5PF/NDUFS7/NDUFA1/ATP5F1E/NDUFA10/NDUFAB1/NDUFS6/TGFB1/NDUFV1/NDUFS2/NDUFA7/NDUFB11/NDUFS4/NDUFA6/ATP5PB/NDUFA12/PARP1/TMSB4X/NDUFC1/NDUFB8/SLC25A13/PINK1/ATP5F1C
GO:0009201	ribonucleoside triphosphate biosynthetic process	96	0.718734931641067	1.68852059695549	2.92801871103221e-06	0.00181407025919062	0.0016951687274397	1887	tags=49%, list=12%, signal=43%	ATP6V0C/ATP5MC2/ATP5ME/ALDOA/ATP5F1D/NDUFB1/NDUFB5/NDUFA13/NDUFA11/ATP5MG/NDUFB4/ATP5PD/ATP5PO/NME3/ATP5MC3/ATP5MF/NDUFA3/NDUFB10/NDUFB3/NDUFA2/SDHD/ATP5PF/NME4/NDUFS7/NDUFA1/ATP5F1E/NDUFA10/NDUFAB1/NDUFS6/TGFB1/NDUFV1/NDUFS2/NDUFA7/NDUFB11/NDUFS4/NDUFA6/ATP5PB/NDUFA12/PARP1/TMSB4X/NDUFC1/IMPDH1/NDUFB8/SLC25A13/PINK1/NME2/ATP5F1C
GO:0009145	purine nucleoside triphosphate biosynthetic process	91	0.720425718416693	1.68818347469686	6.68249952407744e-06	0.00248410782308372	0.00232128930836374	1887	tags=52%, list=12%, signal=46%	ATP6V0C/ATP5MC2/ATP5ME/ALDOA/ATP5F1D/NDUFB1/NDUFB5/NDUFA13/NDUFA11/ATP5MG/NDUFB4/ATP5PD/ATP5PO/NME3/ATP5MC3/ATP5MF/NDUFA3/NDUFB10/NDUFB3/NDUFA2/SDHD/ATP5PF/NME4/NDUFS7/NDUFA1/ATP5F1E/NDUFA10/NDUFAB1/NDUFS6/TGFB1/NDUFV1/NDUFS2/NDUFA7/NDUFB11/NDUFS4/NDUFA6/ATP5PB/NDUFA12/PARP1/TMSB4X/NDUFC1/IMPDH1/NDUFB8/SLC25A13/PINK1/NME2/ATP5F1C
GO:0031640	killing of cells of another organism	18	0.867173945502649	1.67612047519104	0.000519168856625187	0.0419548629643774	0.0392049708664329	964	tags=44%, list=6%, signal=42%	LYZ/RPS19/CLEC7A/HMGN2/RPL30/SYK/HAMP/S100A12
GO:0019646	aerobic electron transport chain	74	0.730707864313978	1.67145306351832	3.65978004976459e-05	0.00784882059903361	0.00733437702280759	1822	tags=50%, list=12%, signal=44%	COX6B1/UQCRB/CYCS/COX5B/COX4I1/COX7C/NDUFB1/NDUFB5/NDUFB4/NDUFA3/NDUFB10/NDUFB3/NDUFA2/SDHD/UQCRC1/COX7A2L/NDUFS7/NDUFA1/ISCU/NDUFA10/COX5A/NDUFAB1/NDUFS6/UQCR10/NDUFV1/NDUFS2/NDUFA7/UQCRH/UQCRC2/NDUFS4/NDUFA6/PARK7/COX7B/NDUFC1/NDUFB8/CYC1/PINK1
