Description	NES	pvalue
ATP biosynthetic process	1.69230912474624	7.40828789893023e-06
Fc-gamma receptor signaling pathway	1.6200669647749	0.000488327142370225
Fc receptor signaling pathway	1.59683453900554	0.000456148545375293
aerobic respiration	1.49350479872679	0.000604434627447446
positive regulation of MAPK cascade	-1.47806525755753	0.000233176762805838
regulation of inflammatory response	-1.51120522982567	0.000128601996919032
angiogenesis	-1.58741056885265	2.63006928971736e-06
response to lipopolysaccharide	-1.60002729017882	3.03666098034479e-05
myeloid leukocyte migration	-1.62253357527658	0.000199346503252587
extracellular matrix organization	-1.68278813734173	8.64974356235308e-05
neutrophil migration	-1.6921632949326	0.000468983338900496
granulocyte chemotaxis	-1.77636537997994	0.000113950603491774
response to chemokine	-1.88411902819106	4.5563080900118e-05
mesenchymal cell migration	-1.95465060754646	0.000178104089940302
response to interleukin-1	-2.0646428105353	1.16693677173245e-06
