	p_val	avg_logFC	pct.1	pct.2	p_val_adj
IFITM2	4.41391788687839e-26	0.912348299948541	0.83	0.701	7.80777935009918e-22
APOC1	0.444362629299411	0.84611760417201	0.287	0.342	1
LST1	1.44105358298737e-31	0.759903026975725	0.858	0.617	2.54907968294636e-27
IFI27	0.00015327764024499	0.722124513737902	0.123	0.061	1
CD55	6.47119528829995e-36	0.666465876857751	0.593	0.246	1.14468973454738e-31
FCGR3A	7.77725254272752e-26	0.662490611389437	0.573	0.289	1.37571820228307e-21
IFITM3	3.11278553527611e-30	0.638222855503525	0.858	0.631	5.50620633334992e-26
SERPINA1	9.32481900425803e-34	0.614678295401096	0.826	0.519	1.6494672336632e-29
CD37	5.27030618049064e-37	0.61007350292396	0.777	0.557	9.32264460266989e-33
FCN1	3.86416439078537e-23	0.578033802076265	0.565	0.273	6.83532039086023e-19
JUNB	3.19933748871125e-34	0.566649154951535	0.929	0.877	5.65930808378132e-30
CD52	4.01156871374194e-21	0.55708403688814	0.696	0.525	7.09606389773811e-17
MS4A7	3.96507777561158e-23	0.552314028982483	0.753	0.501	7.01382607727933e-19
C1orf162	9.67367386339587e-50	0.551490182530205	0.822	0.419	1.7111761696961e-45
AIF1	9.43746815292079e-45	0.550486389126853	0.957	0.824	1.66939374157016e-40
PAPSS2	3.36016630408012e-19	0.544915124400909	0.458	0.222	5.94379817528733e-15
RGS2	9.42258313767912e-37	0.542664006133155	0.747	0.368	1.66676073122406e-32
RNASE1	0.354834944812332	0.539516745370844	0.162	0.149	1
STXBP2	3.41362922943255e-23	0.53890197433612	0.642	0.389	6.03836874394323e-19
HLA-DRB5	7.9545526339557e-17	0.532863047888749	0.81	0.619	1.40708081542042e-12
CFD	6.41399957812011e-27	0.521311455032006	0.69	0.409	1.13457238537367e-22
RPL36A	1.63237647748294e-31	0.500691187159738	0.874	0.741	2.88751075101957e-27
TKT	1.14524981779025e-29	0.484758247367049	0.749	0.44	2.02583240268917e-25
C5AR1	1.31677463056894e-22	0.474355459547035	0.617	0.363	2.3292426440134e-18
S100A4	2.44606629610787e-25	0.469127680477583	0.923	0.836	4.3268466711852e-21
AREG	6.33748906004951e-10	0.464499291438558	0.423	0.24	1.12103843983216e-05
RHOB	5.83032252697929e-27	0.464339741610071	0.567	0.259	1.03132575179737e-22
MNDA	7.65698661110755e-32	0.464103974901259	0.654	0.32	1.35444436163882e-27
NACA	1.1037966522995e-36	0.464069782342696	0.996	0.982	1.95250589825259e-32
LYZ	4.97578758428081e-18	0.45535661355098	0.937	0.757	8.80167065783433e-14
SMIM25	8.46904457727504e-13	0.441858088939922	0.518	0.342	1.49808929527418e-08
CTSS	9.4334562990114e-24	0.439035522039106	0.895	0.698	1.66868408473213e-19
CST3	2.59731388058977e-23	0.437848945598376	0.988	0.849	4.59438852337524e-19
CUX1	2.01609890217604e-14	0.426009608615899	0.431	0.243	3.5662773480592e-10
NUPR1	0.000437933148464077	0.423849620062273	0.148	0.084	1
PECAM1	4.50449006927172e-13	0.422182890378465	0.486	0.312	7.96799248353475e-09
HLA-DPA1	2.36119583067058e-10	0.42025853835028	0.947	0.893	4.17671930487319e-06
RPL41	1.67824218751439e-30	0.41747067677812	0.994	0.984	2.9686426054942e-26
AP1S2	3.93694343023343e-30	0.409811700419314	0.686	0.35	6.96405923373992e-26
FOS	8.90712174827953e-29	0.408772378660441	0.958	0.811	1.57558076605317e-24
TNFSF10	8.24098465747044e-27	0.405506988758787	0.439	0.158	1.45774777605995e-22
FTL	2.51727199576428e-07	0.393297999478249	1	0.997	0.00445280243330743
