Description	NES	pvalue
IL-17 signaling pathway	-2.3133506152687	2.3437272950949e-11
TNF signaling pathway	-2.28308666420131	1.78371875521463e-11
Toll-like receptor signaling pathway	-2.20877646577703	2.49014546154562e-09
NF-kappa B signaling pathway	-2.19096473221728	3.70761765753549e-09
Chemokine signaling pathway	-2.11027525177981	1.67829468039891e-08
Oxidative phosphorylation	1.8815661578049	1.2421853645924e-05
PI3K-Akt signaling pathway	-1.81669495229964	1.21760846323474e-05
JAK-STAT signaling pathway	-1.83826073743208	0.000169154921402235
ECM-receptor interaction	-1.96744467545953	0.000228414951849089
MAPK signaling pathway	-1.61755653093053	0.00136563614316434
Adipocytokine signaling pathway	-1.79197624206419	0.00143720172413255
Apoptosis	-1.61769303024977	0.00311917668228907
