ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
hsa03010	Ribosome	129	0.789215559795712	2.36774781093509	2.10571183869333e-18	6.88567771252718e-16	5.0758738006397e-16	789	tags=55%, list=7%, signal=52%	RPL36A/RPL41/RPS19/RPS29/RPS27/RPL18A/RPL8/RPL37/RPS4X/RPL14/RPS23/RPL29/RPL26/RPS24/RPL12/RPS12/RPL10/RPL34/RPL11/RPS21/RPL9/RPS18/RPS15A/RPL24/RPS25/RPL23A/RPS27A/RPS9/RPS14/RPL19/RPS3/RPL32/RPS8/RPL39/RPL30/RPL28/RPS15/RPL3/RPL7A/RPL4/RPL36/RPL38/RPL27A/RPL13A/RPL6/RPS5/RPL5/RPS6/RPL15/RPL10A/RPS2/RPLP2/RPS10/MRPS21/RPL35A/RPL13/RPL18/RSL24D1/MRPL18/RPL31/RPL37A/FAU/RPSA/RPL21/RPL22/MRPL33/RPL7/RPS13/RPS28/UBA52/RPL23
hsa04060	Cytokine-cytokine receptor interaction	142	-0.763768538778227	-2.31146217661075	8.95985478616359e-13	1.46493625753775e-10	1.07989828738498e-10	957	tags=39%, list=8%, signal=36%	CCL5/IL1R1/CSF2RB/IL13RA1/CCR7/LTBR/TNFRSF1B/TNFSF14/ACVRL1/IL27RA/IL2RG/IL23A/TNFSF15/CCR5/IFNGR2/IL2RA/CXCR2/IL10RA/IL10/IL17RA/CXCL9/IFNAR1/TNFRSF1A/TNFRSF10D/CSF2RA/IL6ST/IL1RAP/CCR1/CD40/IL1R2/IL3RA/IL4R/IL6R/CCL18/CXCL10/OSM/IL6/IL1A/CXCL1/CCL20/TNF/CCL24/CXCL5/CCL2/IL7R/INHBA/CXCL2/IL1B/CXCL3/IL1RN/CXCL8/CCL3/CCL3L1/CCL4/CCL4L2
hsa04657	IL-17 signaling pathway	68	-0.855904915425128	-2.3133506152687	2.3437272950949e-11	1.91599706374008e-09	1.41240408046509e-09	743	tags=43%, list=6%, signal=40%	JUND/ELAVL1/IKBKE/IL17RA/TAB2/MAPK6/MMP1/HSP90B1/HSP90AA1/S100A9/CXCL10/NFKB1/IL6/S100A8/CXCL1/CEBPB/CCL20/MMP9/TNF/PTGS2/CXCL5/CCL2/JUN/CXCL2/NFKBIA/IL1B/CXCL3/TNFAIP3/CXCL8
hsa04668	TNF signaling pathway	100	-0.794675307401585	-2.28308666420131	1.78371875521463e-11	1.91599706374008e-09	1.41240408046509e-09	231	tags=30%, list=2%, signal=30%	NOD2/TAB2/MAP3K8/CREB5/TNFRSF1A/CFLAR/BIRC3/CXCL10/MMP14/BCL3/TRAF1/NFKB1/IL6/IRF1/CXCL1/CEBPB/CCL20/MMP9/TNF/SOCS3/PTGS2/CXCL5/CCL2/JUN/CXCL2/NFKBIA/ICAM1/IL1B/CXCL3/TNFAIP3
hsa04620	Toll-like receptor signaling pathway	85	-0.794868050970417	-2.20877646577703	2.49014546154562e-09	1.62855513185084e-07	1.20051223303989e-07	643	tags=28%, list=5%, signal=27%	IKBKE/TAB2/CXCL9/STAT1/IFNAR1/MAP3K8/JAK1/CD40/TLR4/RAC1/CXCL10/NFKB1/IL6/CD14/TNF/SPP1/JUN/NFKBIA/IL1B/CXCL8/CCL3/CCL3L1/CCL4/CCL4L2
hsa04064	NF-kappa B signaling pathway	86	-0.787480512049559	-2.19096473221728	3.70761765753549e-09	2.02065162335684e-07	1.48955165539584e-07	421	tags=31%, list=4%, signal=30%	MALT1/TAB2/TNFRSF1A/PLAU/CD40/TRIM25/RELB/TLR4/CFLAR/BIRC3/TRAF1/NFKB1/BCL2A1/CD14/GADD45B/CXCL1/TNF/PTGS2/CXCL2/NFKBIA/ICAM1/IL1B/CXCL3/TNFAIP3/CXCL8/CCL4/CCL4L2
hsa04061	Viral protein interaction with cytokine and cytokine receptor	59	-0.827588469793355	-2.19311843766901	1.66531008037554e-08	6.86002950613055e-07	5.05696686593882e-07	862	tags=54%, list=7%, signal=51%	CCR7/LTBR/TNFRSF1B/TNFSF14/IL2RG/CCR5/IL2RA/CXCR2/IL10RA/IL10/CXCL9/TNFRSF1A/TNFRSF10D/IL6ST/CCR1/IL6R/CCL18/CXCL10/IL6/CXCL1/CCL20/TNF/CCL24/CXCL5/CCL2/CXCL2/CXCL3/CXCL8/CCL3/CCL3L1/CCL4/CCL4L2
hsa04062	Chemokine signaling pathway	139	-0.701020964659979	-2.11027525177981	1.67829468039891e-08	6.86002950613055e-07	5.05696686593882e-07	717	tags=21%, list=6%, signal=20%	RAP1B/CCR5/PIK3R5/CXCR2/CXCL9/STAT1/SRC/GNG5/PXN/CCR1/GRB2/RAC1/CCL18/CXCL10/NFKB1/CXCL1/CCL20/CCL24/NCF1/CXCL5/CCL2/CXCL2/NFKBIA/CXCL3/CXCL8/CCL3/CCL3L1/CCL4/CCL4L2
hsa05163	Human cytomegalovirus infection	175	-0.657108917641364	-2.04104019203777	4.55497392516754e-08	1.65497385947754e-06	1.21998716826125e-06	1093	tags=29%, list=9%, signal=27%	PPP3R1/MAP2K1/HLA-C/CTNNB1/HRAS/GNB1/TAP2/RHOA/ATF2/CREB3/CCL5/IL1R1/PIK3CB/GNA12/CRK/BID/PTGER2/PPP3CA/CCR5/CXCR2/IL10RA/CREB5/TNFRSF1A/ITGAV/CALM1/SRC/ITPR2/JAK1/GNG5/PXN/CCR1/CALR/GRB2/TAPBP/RAC1/PDIA3/IL6R/NFKB1/IL6/CDKN1A/VEGFA/TNF/PTGS2/CCL2/NFKBIA/IL1B/CXCL8/CCL3/CCL3L1/CCL4/CCL4L2
hsa05417	Lipid and atherosclerosis	169	-0.665813247786928	-2.05849855208503	8.15440538933606e-08	2.66649056231289e-06	1.96564087806101e-06	717	tags=24%, list=6%, signal=23%	RAP1B/PPP3CA/CYBA/IKBKE/TAB2/TNFRSF1A/CALM1/SRC/CD40/ERO1A/LDLR/MMP1/XBP1/TLR4/HSP90B1/HSPA5/RAC1/HSP90AA1/ABCA1/HSPA1A/HSPA1B/NFKB1/IL6/NLRP3/OLR1/CD14/CXCL1/MMP9/TNF/NCF1/CCL2/JUN/CXCL2/SOD2/NFKBIA/ICAM1/IL1B/CXCL3/CXCL8/CCL3/CCL3L1
