	p_val	avg_logFC	pct.1	pct.2	p_val_adj
RPL41	2.54815319227904e-43	0.628361170931459	1	0.992	3.38700522317729e-39
TNFAIP3	2.990051745921e-43	-1.37923827539568	0.411	0.871	3.97437678067819e-39
NACA	2.02467979109536e-38	0.650447630895113	1	0.984	2.69120437832396e-34
CD44	3.15548001582743e-36	-0.845025432404428	0.787	0.98	4.19426403703782e-32
RPS26	5.47777707563519e-36	-0.704475227537454	0.948	0.996	7.2810612889343e-32
CCL3	3.23624590458705e-35	-1.51827553372267	0.251	0.758	4.3016180563771e-31
AIF1	3.70771918683556e-35	0.576379016765523	0.997	0.965	4.92830034314182e-31
CD37	6.97883498488263e-35	0.783744795796328	0.93	0.723	9.27626746190599e-31
RPL36A	2.9875596950846e-34	0.68333472439565	0.944	0.785	3.97106434670645e-30
C15orf48	2.13409518000149e-33	-1.30232364766375	0.22	0.727	2.83663931325798e-29
CCL3L1	9.97512381589396e-31	-1.56073097344457	0.209	0.68	1.32589345760862e-26
ICAM1	1.58484777688739e-29	-0.890076972117013	0.366	0.762	2.10657966503872e-25
LST1	2.94087551550151e-28	0.875153808429722	0.969	0.887	3.90901173520461e-24
CCL4	8.52600819284957e-28	-1.60882079037839	0.251	0.676	1.13327700899356e-23
TKT	1.18122046576304e-27	0.621662406462815	0.909	0.648	1.57007824309223e-23
CD52	3.03679879107323e-27	0.763146127277833	0.889	0.59	4.03651295309453e-23
TPM4	3.08709605194523e-27	-0.709770095504708	0.544	0.871	4.1033680722456e-23
CCL4L2	5.2307524266794e-27	-1.7814759647478	0.195	0.629	6.95271612554226e-23
SOD2	1.51086161563823e-25	-0.878999103132052	0.913	0.965	2.00823725950634e-21
CTSS	1.67111259263783e-25	0.540305223152535	0.993	0.957	2.22124285813421e-21
RPS29	2.07251048725304e-25	0.472247543262551	0.99	0.945	2.75478093965674e-21
RPL8	2.16672213478413e-25	0.378633829248173	1	1	2.88000706155507e-21
IFITM2	8.09478896071172e-25	0.935115225592516	0.951	0.844	1.0759593486578e-20
RPS19	1.28250382709819e-24	0.572017479474227	1	1	1.70470408697891e-20
LIMD2	2.57779662918486e-24	0.590219096261995	0.774	0.434	3.42640727951251e-20
UBC	1.31543216711144e-23	0.499514933982171	0.972	0.906	1.74847243652452e-19
IL1B	1.97539317655417e-23	-0.929524846583872	0.805	0.938	2.62569261027581e-19
PPDPF	2.01014112433603e-23	0.571429476890761	0.895	0.746	2.67187958246745e-19
TAGLN2	6.69234271206997e-23	-0.75119949928688	0.589	0.883	8.89546193288341e-19
HLA-DRB5	9.04498849596091e-23	0.649236822692127	0.892	0.742	1.20225987088312e-18
CD55	3.61975674217841e-22	0.687546610880776	0.847	0.562	4.81138066170354e-18
NFKBIA	3.81282501357745e-22	-0.886004268790024	0.899	0.957	5.06800700804715e-18
CORO1A	7.7772283448688e-22	0.49820273526295	0.913	0.809	1.03374919159996e-17
TNFSF10	9.7026214255574e-22	0.607253411112667	0.603	0.207	1.28967243988509e-17
RPL18A	1.08288863939508e-21	0.387359181926437	1	0.988	1.43937557948394e-17
UQCRB	1.71088720007089e-21	0.488167793178273	0.937	0.867	2.27411126633423e-17
RGS2	2.41525032413011e-21	0.550447543063738	0.916	0.656	3.21035073083374e-17
ZNF703	6.87276838285879e-21	0.458848450768433	0.422	0.07	9.1352837344959e-17
IL1RN	1.06958767438624e-20	-1.29734111337285	0.265	0.582	1.42169593679419e-16
HMGN2	2.53750219334427e-20	0.478709297057212	0.861	0.625	3.3728479153932e-16
HIF1A	2.57157382926249e-20	-0.677478794802213	0.46	0.758	3.41813593385571e-16
RPS27	3.59361843468386e-20	0.408730382000486	1	1	4.77663762338178e-16
HLA-B	6.17281716674185e-20	0.322844131686554	1	1	8.20490857803327e-16
CXCL8	6.91474877025251e-20	-1.3974457751346	0.362	0.699	9.19108406541964e-16
KLF6	1.29308393046795e-19	-0.732761059238415	0.7	0.906	1.71876716037801e-15
HLA-DQA2	1.38176598721056e-19	-0.345031950804367	0.007	0.27	1.83664335020028e-15
BHLHE40	3.25578477431482e-19	-0.623006124464969	0.195	0.531	4.32758912201926e-15
COX6B1	4.56777046622248e-19	0.344464490529879	0.955	0.926	6.07148050370292e-15
TGM2	5.63575820763097e-19	-0.658565171132287	0.024	0.301	7.49104980958309e-15
JUN	8.5425101245979e-19	-0.77004534653671	0.477	0.812	1.13547044576155e-14
CTSB	1.09045899814746e-18	-0.632888612983348	0.857	0.965	1.4494381003376e-14
ARHGDIB	1.60233848899989e-18	0.415614511301512	0.948	0.863	2.12982831957865e-14
EEF1A1	1.83043951194241e-18	0.39208517594103	1	1	2.43302019927385e-14
TMSB4X	2.08778866316366e-18	0.330139301985227	1	1	2.77508869107714e-14
