	p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
S100A6	4.38097626936683e-98	1.09382674965771	0.991	0.934	5.82319365724239e-94	Monocytes	S100A6
CD300E	3.80377848690369e-97	0.969390451785026	0.663	0.042	5.05598236479238e-93	Monocytes	CD300E
NEAT1	2.19777783526943e-95	1.02882255945086	0.994	0.919	2.92128629864012e-91	Monocytes	NEAT1
SERPINA1	8.0133426062284e-94	0.996240637291738	0.974	0.721	1.06513349921988e-89	Monocytes	SERPINA1
TIMP1	2.58951332308077e-91	1.64681761480581	0.963	0.787	3.44198110903896e-87	Monocytes	TIMP1
NAMPT	1.31753313978842e-89	0.963473732340973	0.971	0.789	1.75126504940677e-85	Monocytes	NAMPT
S100A4	6.39724692872401e-88	1.09515808557785	0.985	0.851	8.50322061765995e-84	Monocytes	S100A4
PLAUR	3.66514461457618e-85	1.03211127210739	0.971	0.798	4.87171022169466e-81	Monocytes	PLAUR
FCN1	7.71007579957172e-80	1.41980563187955	0.81	0.461	1.02482327527907e-75	Monocytes	FCN1
SLC11A1	2.88213390547642e-77	0.841836062203194	0.65	0.108	3.83093238715926e-73	Monocytes	SLC11A1
APOBEC3A	8.5109487231249e-69	1.0627785431647	0.486	0.022	1.13127530427776e-64	Monocytes	APOBEC3A
S100A8	3.31879666800111e-68	2.42584262094803	0.768	0.517	4.41134453110707e-64	Monocytes	S100A8
MALAT1	8.05367528503739e-67	0.836150289138471	1	0.985	1.07049451888717e-62	Monocytes	MALAT1
STXBP2	1.34749595743663e-64	0.877216375041381	0.829	0.537	1.79109162662477e-60	Monocytes	STXBP2
DUSP1	1.29084698446926e-63	0.724234098206307	0.985	0.906	1.71579381175654e-59	Monocytes	DUSP1
BCL2A1	1.67883814852384e-62	0.880162473451038	0.891	0.686	2.23151166701789e-58	Monocytes	BCL2A1
S100A9	6.7711612273782e-62	1.59517936980509	0.849	0.64	9.0002275034311e-58	Monocytes	S100A9
VCAN	1.10512214093808e-61	1.31890642654094	0.63	0.204	1.46892834973489e-57	Monocytes	VCAN
IL1B	1.4274690846314e-59	1.441929615023	0.867	0.686	1.89739190729206e-55	Monocytes	IL1B
ATP2B1-AS1	2.75587831573765e-58	0.696563151937418	0.569	0.116	3.66311345727849e-54	Monocytes	ATP2B1-AS1
FPR1	1.0886062110728e-57	0.639331323526539	0.6	0.132	1.44697537575797e-53	Monocytes	FPR1
CD44	4.83568887973215e-56	0.804749684540417	0.878	0.7	6.42759765893997e-52	Monocytes	CD44
SRGN	1.87686478254068e-55	0.54695345069805	0.998	0.982	2.49472866895307e-51	Monocytes	SRGN
BTG1	1.66891041411986e-54	0.70821640445045	0.926	0.798	2.21831572244811e-50	Monocytes	BTG1
LILRA5	5.62587324583713e-54	0.614605589030992	0.503	0.079	7.47791071836672e-50	Monocytes	LILRA5
EMP3	7.03669979581904e-54	0.699887362299793	0.936	0.811	9.35318136860267e-50	Monocytes	EMP3
JUNB	2.15406570740777e-53	0.688775907389312	0.983	0.895	2.86318413828641e-49	Monocytes	JUNB
TNFRSF1B	4.01825667459826e-53	0.721256967340206	0.816	0.588	5.34106677187601e-49	Monocytes	TNFRSF1B
FGR	1.00264183396112e-50	0.643340518619786	0.669	0.27	1.33271152570112e-46	Monocytes	FGR
FTH1	6.09331877598232e-50	0.678011102772241	1	1	8.0992393170357e-46	Monocytes	FTH1
S100A12	1.40929231881556e-49	0.837601214680795	0.35	0.006	1.87323135016965e-45	Monocytes	S100A12
