	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
IL32	1.75097641377316e-12	0.518228451130555	0.808	0.354	3.09730217832334e-08	Inflammatory fibroblasts	IL32
RPS29	1.97374674612192e-11	0.303208825276241	1	0.918	3.49136061921507e-07	Inflammatory fibroblasts	RPS29
CORO1A	1.34346792681499e-10	0.468978417054675	0.48	0.12	2.37646041574304e-06	Inflammatory fibroblasts	CORO1A
RAC2	1.68352101524897e-10	0.455894717716329	0.472	0.114	2.97798032387389e-06	Inflammatory fibroblasts	RAC2
PTPRCAP	4.96832269769879e-10	0.44106025012034	0.472	0.12	8.78846601995939e-06	Inflammatory fibroblasts	PTPRCAP
NKG7	6.15503969489142e-10	0.322887991095059	0.432	0.101	1.08876497162934e-05	Inflammatory fibroblasts	NKG7
LAPTM5	6.64223456881157e-10	0.346282142031254	0.424	0.095	1.17494487287708e-05	Inflammatory fibroblasts	LAPTM5
RPSA	1.99987553536411e-09	0.27929896121654	0.992	0.918	3.53757983450557e-05	Inflammatory fibroblasts	RPSA
RPL4	3.15958058241469e-09	0.285328131171798	0.984	0.886	5.58898209223335e-05	Inflammatory fibroblasts	RPL4
RPL27A	9.48785646025781e-09	0.304951596565296	0.904	0.747	0.0001678306929255	Inflammatory fibroblasts	RPL27A
PTPRC	1.16892757231975e-08	0.284369746645235	0.416	0.108	0.000206771598267641	Inflammatory fibroblasts	PTPRC
CD52	2.00910810122267e-08	0.326894334929993	0.44	0.12	0.000355391132025278	Inflammatory fibroblasts	CD52
CD3E	2.79591150206556e-08	0.314432782024739	0.384	0.095	0.000494568785600377	Inflammatory fibroblasts	CD3E
EEF1B2	4.17691874909755e-08	0.274264198068409	0.992	0.854	0.000738855157527866	Inflammatory fibroblasts	EEF1B2
SRGN	4.50696396309289e-08	0.266657907030024	0.48	0.158	0.000797236855431501	Inflammatory fibroblasts	SRGN
HHIP	2.81413371233875e-07	0.348689084522523	0.328	0.089	0.00497792112375601	Inflammatory fibroblasts	HHIP
