ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0002181	cytoplasmic translation	152	0.754189301385399	1.79117612684375	4.8254075626246e-14	2.81321260901014e-10	2.51378337130833e-10	2932	tags=70%, list=17%, signal=59%	EIF3E/RPL36A/EIF3L/EIF4A2/SH3BGRL/RPL23/RPL31/RWDD1/EIF3F/RPL7/RPS2/RPL9/EIF4A1/RPS10/RACK1/EIF3M/RPL41/RPS4X/RPL5/EIF3H/RPL13A/RPS8/EIF3I/RPS24/RPL27A/RPL24/RPL4/RPS20/RPS17/RPL14/RPL3/EIF2S2/RPL10A/RPL7A/RPL15/RPL6/RPL37/RPL37A/YBX1/EIF3D/RPS29/RPL38/RPL39/RPS23/RPS11/RPL29/RPLP0/EIF3G/RPL17/RPL35A/RPL22/RPL12/RPL34/RPL32/RPS25/RPL13/RPL26/RPL11/RPL36/RPL18/RPL10/RPL26L1/RPS7/EIF5/RPS3/EIF2D/RPSA/RPS3A/RBM4/RPS13/RPL18A/SYNCRIP/PAIP1/RPS9/RPS18/CSDE1/CNBP/EIF3J/RPS15A/RPS28/RPS5/EIF2S3/RPS21/RPL21/RPL23A/RPL27/RPS6/RPS14/RPS12/RPL19/NCBP2/RPL30/ZC3H15/RPL8/RPS15/RPLP1/RPS27A/RPLP2/RPS16/EIF2B3/DENR/RPS27/DHX36/EIF3CL/EIF3B/EIF4G1/UBA52
GO:0030199	collagen fibril organization	59	0.785680162461657	1.75989956159577	3.40953362911387e-07	6.0235094114345e-05	5.38238658069682e-05	1777	tags=42%, list=10%, signal=38%	COL1A1/COL1A2/COL3A1/SERPINH1/AEBP1/COL18A1/FKBP10/CRTAP/EFEMP2/SFRP2/CYP1B1/PXDN/COL5A1/P4HA1/LUM/ADAMTS12/ADAMTS2/P3H4/ANXA2/DDR2/EXT1/ADAMTS7/COL12A1/COL5A2/TNXB
GO:0071711	basement membrane organization	33	0.811181125129102	1.70215485703576	1.3670768388092e-05	0.00124532155785275	0.00111277356501097	1162	tags=48%, list=7%, signal=45%	COL3A1/COL4A1/ITGB1/PXDN/FLRT2/NID2/LAMB1/PHLDB1/HMCN1/LAMA2/NID1/PRICKLE1/CAV2/LAMA1/EXT1/RAMP2
GO:1902992	negative regulation of amyloid precursor protein catabolic process	21	0.83872536036463	1.66091666026783	0.000263930182915344	0.0137385086285398	0.0122762262711282	1049	tags=29%, list=6%, signal=27%	APOE/IGF1/PRNP/CLU/NTRK2/RTN3
GO:1905048	regulation of metallopeptidase activity	15	0.878584559848783	1.65762296246585	0.000128633138613354	0.00765235916444752	0.00683786684207832	603	tags=40%, list=3%, signal=39%	TIMP1/TIMP2/LRP1/ANTXR1/TIMP3/SVBP
GO:1902430	negative regulation of amyloid-beta formation	18	0.852862241773205	1.6542081688289	0.000588121528882482	0.0226583341831356	0.0202466544862938	1049	tags=33%, list=6%, signal=31%	APOE/IGF1/PRNP/CLU/NTRK2/RTN3
GO:0045687	positive regulation of glial cell differentiation	31	0.779525586246229	1.63291482820954	0.000421020583071533	0.0178542386383824	0.015953891310166	622	tags=32%, list=4%, signal=31%	MDK/PTN/SERPINE2/IL6ST/IL33/ID2/HDAC2/TGFB1/HES1/RHEB
GO:0001569	branching involved in blood vessel morphogenesis	28	0.796539213258151	1.63246364020665	0.000268785797843835	0.0138674442604386	0.0123914384120088	583	tags=21%, list=3%, signal=21%	MDK/ENG/COL4A1/NRP1/SFRP2/VEGFA
GO:0002183	cytoplasmic translational initiation	37	0.76223405597047	1.62830267779143	0.000226700072063271	0.0123519758890549	0.0110372715852546	3012	tags=68%, list=17%, signal=56%	EIF3E/EIF3L/EIF4A2/SH3BGRL/EIF3F/EIF4A1/EIF3M/EIF3H/RPL13A/EIF3I/EIF2S2/EIF3D/EIF3G/EIF5/EIF2D/RBM4/EIF3J/EIF2S3/NCBP2/EIF2B3/DENR/EIF3CL/EIF3B/EIF4G1/MIF4GD
GO:0035909	aorta morphogenesis	29	0.788979554624953	1.62680632856856	0.00071609041205299	0.0260925443891808	0.0233153384819095	1422	tags=38%, list=8%, signal=35%	ENG/COL3A1/LRP1/FKBP10/EFEMP2/SOX4/PDGFRB/MYLK/HES1/JAG1/HEY2
