Description	NES	pvalue
cytoplasmic translation	1.79117612684375	4.8254075626246e-14
collagen fibril organization	1.75989956159577	3.40953362911387e-07
basement membrane organization	1.70215485703576	1.3670768388092e-05
branching involved in blood vessel morphogenesis	1.63246364020665	0.000268785797843835
aorta morphogenesis	1.62680632856856	0.00071609041205299
artery morphogenesis	1.57525593454574	0.000371227698178283
alpha-beta T cell differentiation	-1.48133291206381	0.000573698458895197
B cell proliferation	-1.58434901957467	0.000740093869596742
B cell receptor signaling pathway	-1.67753154866758	0.000526074298175131
positive regulation of T cell proliferation	-1.69582861663179	0.000161179292561979
natural killer cell mediated immunity	-1.87754952332746	2.28889471879496e-05
T cell receptor signaling pathway	-1.8848729606503	7.12167267225312e-08
lymphocyte chemotaxis	-1.93565615915122	4.51876503092135e-05
MHC protein complex assembly	-1.9942967677288	0.000359596842886322
antigen processing and presentation	-2.08459447270977	6.75149283480842e-09
positive T cell selection	-2.27818966135998	1.15615750796852e-07
T cell mediated cytotoxicity	-2.31462892246742	2.83335192507023e-09
