	p_val	avg_log2FC	pct.1	pct.2	p_val_adj
COLEC11	7.22782718824216e-24	1.04284096389737	0.636	0.053	1.27853035132816e-19
BGN	1.03041852962761e-18	1.00928707579178	0.788	0.417	1.82270733705828e-14
MGP	1.7960781796803e-21	0.990570968943782	0.854	0.326	3.17708269203648e-17
APOE	4.1874287725061e-19	0.870914782084426	0.616	0.083	7.40714275568604e-15
COL1A1	1.23056883442947e-15	0.850982864117755	0.874	0.417	2.17675321122229e-11
TIMP1	6.44488095117546e-19	0.848383950227465	0.914	0.5	1.14003499145343e-14
IGFBP7	7.96838871528145e-16	0.820508930252632	0.927	0.455	1.40952827984614e-11
MDK	4.19040013146198e-24	0.813372978732273	0.742	0.144	7.41239879254309e-20
ID3	9.73631960140966e-16	0.806208659975182	0.775	0.379	1.72225757429336e-11
THBS2	1.88110773455808e-18	0.799459366157537	0.556	0.076	3.3274914716598e-14
SPARC	5.69405037498329e-17	0.788097526218668	0.914	0.477	1.00722057083079e-12
ENG	1.58395990858986e-17	0.787884413016005	0.695	0.28	2.8018666823046e-13
COL1A2	1.86776327456591e-15	0.770184031898233	0.907	0.47	3.30388645637963e-11
THBS4	1.02432457673203e-14	0.758341870914135	0.384	0.008	1.81192774378129e-10
FN1	2.52954082935542e-13	0.682310804241774	0.781	0.341	4.4745047730468e-09
NR2F2	7.48896444012181e-22	0.645323329391861	0.834	0.22	1.32472291981315e-17
COL4A2	1.13474177538497e-10	0.637820926436737	0.742	0.371	2.00724472647847e-06
TCEAL4	1.62949575319083e-18	0.632283045980116	0.762	0.288	2.88241503781927e-14
LHFPL6	6.47662786203284e-17	0.621813004520833	0.834	0.371	1.14565070251499e-12
BEX3	9.35848761204241e-18	0.621338597210266	0.834	0.379	1.65542287369418e-13
HTRA1	2.21232428908747e-14	0.618834890056812	0.669	0.212	3.91338043496683e-10
TSPAN7	4.99521580413892e-19	0.608582758574719	0.523	0.038	8.83603723594133e-15
GSN	1.30982057796274e-12	0.603828415922545	0.841	0.409	2.31694162035829e-08
VIM	1.84800469824214e-25	0.596626606745619	1	0.985	3.26893551072052e-21
COL3A1	8.5571276357012e-10	0.574650753501997	0.874	0.455	1.51367030747919e-05
MEG3	8.07764350210181e-17	0.572733600656939	0.675	0.167	1.42885435908679e-12
COL4A1	8.66943832534540e-09	0.566112290562672	0.702	0.356	0.000153353694537035
IGF1	4.88107851288281e-15	0.565618094234671	0.411	0.015	8.63413978143841e-11
PRSS23	4.83564243554868e-10	0.560021378183516	0.662	0.258	8.55376790424205e-06
IGFBP2	8.79365648463727e-11	0.551511929003577	0.603	0.205	1.55550989556749e-06
MATN2	2.72114409012377e-17	0.549367482719958	0.503	0.045	4.81343178101994e-13
TTC3	2.88988332858202e-15	0.547622435282144	0.715	0.288	5.11191461992873e-11
SFRP4	9.12764196830457e-12	0.545511667016359	0.331	0.015	1.6145885877734e-07
NAP1L1	5.7706280489385e-15	0.54198208551072	0.762	0.409	1.02076639557673e-10
SRPX	6.42822027020015e-17	0.539952964222313	0.55	0.076	1.13708788359571e-12
TAGLN	1.23046731651112e-07	0.536242085295353	0.728	0.402	0.00217657363617653
FCGRT	6.0692165225852e-16	0.534752130198771	0.722	0.235	1.0735837106801e-11
SERPINH1	4.48024728851019e-12	0.531882688844033	0.821	0.356	7.92510942864568e-08
COL15A1	1.44202988682776e-12	0.529478282744552	0.583	0.159	2.55080666680963e-08
TMEM98	3.56082028953774e-18	0.528985197696061	0.689	0.174	6.2987350101633e-14
CXCL12	3.75169259503026e-12	0.525275876776424	0.391	0.045	6.63636903134903e-08
TPM2	2.42365672733428e-10	0.523750892158686	0.861	0.439	4.28720638498161e-06
